cart_det_id,sell_id,cart_id,cart_det_qnty
1,14965,1,1
2,8023,2,2
3,7994,2,2
4,7775,2,1
5,7996,2,1
6,1400,3,2
7,6863,4,3
8,722,5,3
9,747,5,3
10,495,5,3
11,799,5,3
12,2221,6,2
13,11731,6,3
14,2031,6,3
15,2250,6,3
16,7925,7,2
17,12648,7,1
18,13890,7,1
19,7889,7,3
20,7772,7,1
21,759,8,2
22,318,9,2
23,287,9,1
24,9071,10,1
25,9270,10,3
26,9248,10,2
27,14006,10,3
28,2563,11,1
29,13477,11,2
30,1250,12,1
31,990,12,1
32,824,12,3
33,1256,12,1
34,11598,12,3
35,3146,13,1
36,3253,13,2
37,3270,14,3
38,3306,14,2
39,3121,14,1
40,3380,14,2
41,1362,15,2
42,901,15,2
43,14035,16,1
44,9580,16,1
45,9600,16,3
46,9552,16,1
47,2406,17,2
48,11760,17,1
49,2326,17,3
50,12862,18,2
51,9268,18,3
52,6883,19,1
53,6999,19,1
54,664,20,1
55,769,20,3
56,505,20,3
57,11478,20,2
58,679,20,3
59,5739,21,1
60,5538,21,1
61,5596,21,2
62,13419,22,2
63,11661,22,3
64,1577,22,3
65,1649,22,3
66,11607,22,2
67,6035,23,3
68,5947,23,2
69,6109,23,1
70,5924,23,3
71,6004,23,1
72,7200,24,2
73,12503,24,3
74,11265,25,1
75,11047,25,1
76,11713,26,3
77,5087,27,2
78,4982,27,2
79,13680,27,1
80,4911,28,1
81,4904,28,1
82,12182,28,3
83,5094,28,1
84,12097,29,3
85,4419,29,2
86,14573,29,2
87,2464,30,1
88,2330,30,2
89,2321,30,2
90,14963,31,3
91,12985,31,3
92,9788,31,3
93,13382,32,2
94,14406,33,1
95,2508,33,3
96,5489,34,1
97,12995,35,2
98,9777,35,1
99,9736,35,1
100,9756,35,3
101,9779,35,3
102,3710,36,3
103,4172,36,3
104,8837,37,2
105,8954,37,1
106,9481,38,3
107,3024,39,1
108,2978,39,1
109,11806,39,2
110,2620,39,1
111,4328,40,1
112,4863,40,1
113,4396,40,2
114,11647,41,1
115,14317,41,1
116,1628,41,3
117,13454,42,1
118,11396,43,1
119,6759,44,1
120,6566,44,3
121,6756,44,2
122,12455,44,2
123,6088,45,3
124,9603,46,1
125,8490,47,1
126,8306,47,3
127,8453,47,1
128,10969,48,3
129,14158,48,3
130,13217,48,2
131,11048,48,3
132,2155,49,1
133,12367,50,2
134,6042,50,2
135,5972,50,1
136,722,51,2
137,4284,52,1
138,13596,52,3
139,13591,52,2
140,3844,52,1
141,6105,53,2
142,5895,53,1
143,5940,53,1
144,14662,53,2
145,14115,54,3
146,10206,54,3
147,10662,54,3
148,14230,55,1
149,8695,56,3
150,8655,56,3
151,12794,56,2
152,657,57,1
153,52,58,1
154,106,58,2
155,14524,59,2
156,3696,59,2
157,3813,59,2
158,3855,59,1
159,3849,59,3
160,13084,60,3
161,10421,60,1
162,10242,60,2
163,10257,60,3
164,1220,61,2
165,14272,61,1
166,1303,61,3
167,972,61,2
168,8901,62,2
169,8914,62,1
170,8880,62,2
171,8940,62,2
172,8961,62,1
173,3811,63,1
174,9794,64,3
175,12977,64,2
176,9745,64,2
177,9795,64,1
178,11784,65,3
179,14418,65,3
180,11829,65,3
181,3013,65,1
182,2930,65,2
183,7711,66,3
184,7908,66,2
185,8029,66,3
186,7832,66,2
