user_id,wine_id,cart_det_qnty
user289,1056,1.0
user134,1056,1.0
user244,1056,1.0
user199,1056,3.0
user108,1056,2.0
user282,1056,2.0
user234,1056,3.0
user289,1056,2.0
user286,1056,1.0
user201,1056,2.0
user284,1056,2.0
user240,1056,1.0
user234,1056,2.0
user218,1056,2.0
user265,1056,1.0
user072,1056,2.0
user214,947,2.0
user116,947,3.0
user225,947,1.0
user214,886,2.0
user256,886,3.0
user248,886,3.0
user214,397,1.0
user195,397,2.0
user214,890,1.0
user247,890,2.0
user091,890,3.0
user077,1333,2.0
user219,39,3.0
user125,39,2.0
user255,39,3.0
user243,1049,3.0
user171,1049,2.0
user074,1049,3.0
user194,1049,2.0
user149,1049,2.0
user297,1049,1.0
user243,1118,3.0
user245,1118,1.0
user308,1118,3.0
user243,177,3.0
user245,177,1.0
user243,1274,3.0
user267,1274,2.0
user243,1274,2.0
user267,1274,3.0
user014,1274,1.0
user151,1274,1.0
user243,1274,1.0
user161,1189,2.0
user161,1189,2.0
user053,1189,3.0
user132,1189,1.0
user161,972,3.0
user061,972,1.0
user196,972,2.0
user173,972,1.0
user048,972,1.0
user161,57,3.0
user048,57,2.0
user161,1343,3.0
user187,1343,2.0
user145,1343,2.0
user010,729,2.0
user010,460,1.0
user200,460,2.0
user010,24,1.0
user258,24,3.0
user010,641,3.0
user010,389,1.0
user013,389,3.0
user079,389,1.0
user089,389,1.0
user310,389,1.0
user195,389,1.0
user095,389,1.0
user148,1158,2.0
user149,1158,2.0
user178,1158,2.0
user185,613,2.0
user098,613,3.0
user308,613,3.0
user148,613,2.0
user237,613,1.0
user203,613,1.0
user107,613,2.0
user185,362,1.0
user209,362,3.0
user011,362,2.0
user227,362,1.0
user291,362,2.0
user066,362,2.0
user295,431,1.0
user213,431,2.0
user295,1142,3.0
user146,1142,1.0
user295,1065,2.0
user017,1065,2.0
user285,1065,1.0
user295,840,3.0
user002,840,1.0
user150,162,1.0
user175,162,2.0
user238,162,2.0
user150,88,2.0
user306,88,3.0
user238,88,2.0
user187,973,1.0
user202,973,3.0
user187,378,1.0
user178,378,2.0
user119,378,3.0
user187,11,3.0
user078,11,2.0
user187,985,1.0
user254,985,3.0
user178,985,3.0
user173,985,2.0
user237,985,1.0
user187,1220,3.0
user203,1220,2.0
user220,210,1.0
user205,210,1.0
user330,210,1.0
user222,210,1.0
user222,210,1.0
user211,210,1.0
user220,602,2.0
user220,602,3.0
user076,659,3.0
user330,659,2.0
user076,791,2.0
user140,791,1.0
user076,103,1.0
user069,103,3.0
user076,1051,2.0
user243,1237,2.0
user243,165,2.0
user022,165,3.0
user171,165,3.0
user048,165,1.0
user229,696,1.0
user229,763,1.0
user240,763,1.0
user269,763,3.0
user294,763,3.0
user229,842,3.0
user204,842,2.0
user028,842,2.0
user001,842,2.0
user229,686,1.0
user269,686,2.0
user097,686,1.0
user190,919,2.0
user190,844,1.0
user043,844,3.0
user190,365,3.0
user043,365,3.0
user253,365,3.0
user053,365,3.0
user199,228,2.0
user193,228,3.0
user097,228,2.0
user325,228,3.0
user046,228,2.0
user199,1138,3.0
user256,1138,3.0
user319,109,1.0
user319,522,1.0
user319,522,1.0
user091,522,1.0
user117,522,1.0
user308,870,1.0
user194,870,2.0
user308,1194,3.0
user308,211,3.0
user060,211,2.0
user123,211,3.0
user308,548,2.0
user297,548,2.0
user308,925,3.0
user060,925,2.0
user190,925,1.0
user261,873,1.0
user041,873,3.0
user274,873,1.0
user261,158,1.0
user100,158,2.0
user047,158,1.0
user198,158,3.0
user261,354,2.0
user179,968,2.0
user188,968,1.0
user179,732,3.0
user190,732,2.0
user098,732,3.0
user262,732,1.0
user173,732,2.0
user179,345,3.0
user123,345,3.0
user165,345,2.0
user179,513,3.0
user179,12,2.0
user187,12,3.0
user165,12,1.0
user100,926,3.0
user172,926,2.0
user100,462,2.0
user130,462,1.0
user040,462,1.0
user038,462,2.0
user228,462,2.0
user041,462,1.0
user100,1369,1.0
user329,1369,1.0
user228,1369,2.0
user100,327,3.0
user071,327,1.0
user100,753,1.0
user040,753,1.0
user301,1270,2.0
user206,1270,3.0
user319,1270,2.0
user212,1270,1.0
user301,60,3.0
user090,60,3.0
user302,1162,1.0
user286,1162,3.0
user302,658,1.0
user324,658,2.0
user203,658,1.0
user045,658,3.0
user220,212,3.0
user051,212,1.0
user053,212,3.0
user179,212,2.0
user316,212,2.0
user012,1159,2.0
user076,1159,1.0
user041,1159,2.0
user081,1159,3.0
user012,533,2.0
user126,533,2.0
user019,533,2.0
user159,533,3.0
user012,360,1.0
user092,360,2.0
user235,360,2.0
user092,360,1.0
user137,360,1.0
user153,121,1.0
user153,93,1.0
user153,276,3.0
user114,276,1.0
user153,1233,1.0
user233,1233,2.0
user114,356,3.0
user038,356,1.0
user139,356,3.0
user114,321,2.0
user128,321,2.0
user280,321,3.0
user047,321,1.0
user114,1072,2.0
user021,1257,1.0
user257,1257,3.0
user253,1257,1.0
user246,1257,3.0
user021,391,2.0
user297,391,3.0
user161,391,3.0
user086,391,3.0
user217,391,3.0
user015,391,3.0
user021,391,2.0
user147,391,2.0
user021,353,2.0
user257,353,2.0
user070,353,2.0
user051,353,2.0
user220,353,1.0
user236,448,3.0
user108,448,3.0
user236,448,2.0
user017,448,1.0
user101,448,3.0
user278,448,3.0
user131,448,1.0
user265,448,3.0
user317,448,3.0
user240,448,3.0
user129,448,1.0
user275,448,3.0
user001,448,2.0
user199,448,3.0
user080,448,1.0
user325,448,3.0
user236,764,3.0
user199,764,3.0
user286,764,2.0
user294,764,2.0
user180,764,3.0
user285,764,3.0
user146,764,3.0
user146,764,2.0
user242,764,2.0
user037,764,1.0
user108,764,3.0
user317,764,2.0
user101,764,2.0
user180,764,2.0
user293,764,1.0
user207,764,3.0
user218,764,2.0
user152,764,1.0
user034,764,2.0
user273,764,1.0
user328,764,2.0
user236,1147,3.0
user286,1147,2.0
user224,1147,3.0
user265,1147,2.0
user131,1147,1.0
user236,1147,2.0
user224,1147,2.0
user278,1147,1.0
user289,1147,2.0
user278,1147,3.0
user184,1147,1.0
user152,1147,1.0
user218,1147,2.0
user080,1147,3.0
user129,1147,1.0
user269,1147,1.0
user298,1147,3.0
user218,1147,3.0
user142,8,2.0
user257,800,1.0
user069,800,2.0
user257,800,3.0
user257,46,3.0
user064,46,1.0
user316,46,3.0
user156,1378,1.0
user126,1378,2.0
user059,1378,1.0
user172,1378,2.0
user232,1378,2.0
user240,1372,2.0
user045,1372,2.0
user224,1372,2.0
user282,1372,2.0
user204,1372,1.0
user106,1372,2.0
user131,1372,1.0
user045,1372,1.0
user108,1372,3.0
user298,1372,3.0
user265,1372,2.0
user106,1372,1.0
user218,1372,3.0
user240,950,1.0
user277,950,1.0
user152,950,2.0
user131,950,2.0
user234,950,2.0
user240,950,1.0
user131,950,3.0
user311,950,3.0
user034,950,1.0
user002,950,2.0
user218,950,2.0
user240,61,1.0
user242,61,2.0
user170,61,3.0
user180,61,3.0
user181,61,3.0
user146,61,2.0
user311,61,2.0
user129,61,3.0
user311,61,1.0
user152,61,1.0
user265,61,2.0
user186,61,3.0
user273,61,2.0
user152,61,3.0
user240,509,3.0
user244,509,3.0
user002,509,3.0
user184,509,3.0
user170,509,1.0
user186,509,2.0
user298,509,1.0
user286,509,2.0
user234,509,3.0
user201,509,1.0
user199,509,1.0
user317,509,1.0
user289,509,2.0
user277,509,2.0
user180,509,1.0
user240,958,3.0
user242,958,3.0
user236,958,1.0
user034,958,1.0
user207,958,3.0
user244,958,2.0
user072,958,3.0
user129,958,2.0
user199,958,2.0
user207,958,1.0
user280,47,3.0
user280,1139,3.0
user305,1139,3.0
user037,114,2.0
user272,114,2.0
user017,114,1.0
user282,114,1.0
user054,114,2.0
user075,114,3.0
user013,114,3.0
user293,114,3.0
user293,114,1.0
user054,114,3.0
user195,114,1.0
user191,114,1.0
user037,1185,1.0
user163,1185,2.0
user285,1185,3.0
user263,1185,2.0
user278,462,3.0
user109,462,1.0
user298,462,1.0
user015,1243,1.0
user139,1243,3.0
user015,1143,1.0
user103,1143,3.0
user246,1143,3.0
user099,1143,1.0
user015,508,2.0
user094,508,2.0
user231,508,1.0
user015,303,1.0
user179,303,3.0
user155,303,2.0
user314,303,3.0
user223,93,1.0
user223,1339,1.0
user223,277,2.0
user128,277,1.0
user021,516,1.0
user021,512,1.0
user021,461,3.0
user086,461,3.0
user217,1064,1.0
user099,1064,3.0
user064,1064,2.0
user217,1064,3.0
user220,1064,3.0
user237,828,1.0
user066,828,3.0
user080,828,1.0
user022,828,1.0
user317,828,3.0
user329,1055,1.0
user329,319,3.0
user329,1038,2.0
user258,1038,2.0
user329,404,2.0
user115,404,2.0
user120,404,3.0
user183,1246,3.0
user218,853,1.0
user001,853,1.0
user218,853,1.0
user135,853,2.0
user120,983,1.0
user221,983,3.0
user200,983,1.0
user225,983,2.0
user120,343,3.0
user089,343,2.0
user120,857,1.0
user143,857,2.0
user214,857,3.0
user182,465,3.0
user286,465,2.0
user082,465,2.0
user181,465,1.0
user122,465,1.0
user182,456,3.0
user072,456,1.0
user244,456,3.0
user182,716,2.0
user080,716,3.0
user260,716,3.0
user292,716,1.0
user182,661,3.0
user157,661,3.0
user202,865,1.0
user297,865,2.0
user196,865,2.0
user276,865,1.0
user297,865,3.0
user123,865,1.0
user173,865,2.0
user021,865,3.0
user145,865,1.0
user053,865,2.0
user220,865,3.0
user179,865,3.0
user288,1140,2.0
user039,1140,3.0
user321,1140,2.0
user039,1140,2.0
user288,955,2.0
user228,955,2.0
user062,955,1.0
user126,955,2.0
user040,955,3.0
user288,603,1.0
user288,603,2.0
user235,603,2.0
user261,603,1.0
user153,603,2.0
user041,603,1.0
user318,603,3.0
user153,603,3.0
user183,603,2.0
user246,1378,1.0
user160,1378,1.0
user246,392,3.0
user246,264,2.0
user306,264,1.0
user246,346,1.0
user153,1357,2.0
user329,1357,3.0
user059,1357,1.0
user126,1357,3.0
user130,1357,1.0
user274,1357,3.0
user105,1357,1.0
user153,110,1.0
user111,110,3.0
user038,110,2.0
user083,110,1.0
user115,110,2.0
user153,417,1.0
user105,417,1.0
user329,417,3.0
user274,417,3.0
user228,417,2.0
user062,417,2.0
user153,320,2.0
user130,320,3.0
user108,760,3.0
user113,760,2.0
user204,760,3.0
user108,57,3.0
user108,1130,3.0
user254,336,1.0
user243,336,3.0
user191,541,3.0
user117,541,1.0
user044,541,1.0
user191,317,3.0
user212,317,2.0
user010,317,2.0
user191,276,2.0
user091,276,1.0
user248,276,2.0
user200,276,3.0
user051,857,1.0
user142,857,3.0
user102,857,3.0
user270,326,1.0
user034,326,3.0
user302,326,2.0
user182,326,2.0
user270,638,2.0
user138,638,1.0
user185,638,1.0
user291,638,2.0
user305,1152,2.0
user305,15,2.0
user043,15,3.0
user305,273,2.0
user233,273,3.0
user305,374,1.0
user305,362,3.0
user076,362,2.0
user201,372,3.0
user182,372,2.0
user201,578,1.0
user328,578,1.0
user201,133,2.0
user201,171,3.0
user072,171,2.0
user142,894,2.0
user014,894,1.0
user142,656,1.0
user073,656,3.0
user173,656,3.0
user142,1093,3.0
user171,1093,1.0
user142,338,2.0
user230,338,2.0
user119,338,1.0
user094,338,3.0
user014,338,1.0
user001,638,2.0
user010,638,3.0
user170,638,3.0
user017,638,3.0
user095,638,2.0
user089,638,2.0
user200,638,3.0
user001,793,1.0
user001,793,3.0
user236,793,1.0
user131,793,2.0
user295,793,2.0
user213,793,1.0
user046,793,3.0
user191,793,1.0
user087,793,3.0
user087,793,1.0
user001,434,2.0
user168,434,3.0
user195,434,1.0
user013,434,2.0
user273,434,1.0
user075,434,3.0
user001,1038,2.0
user001,1246,1.0
user293,1246,2.0
user225,1246,3.0
user131,1246,1.0
user239,1246,2.0
user081,269,1.0
user080,1213,3.0
user180,1213,3.0
user204,1213,3.0
user135,1213,2.0
user131,1213,1.0
user122,1213,2.0
user289,1213,3.0
user101,1213,3.0
user134,1213,3.0
user080,84,2.0
user017,84,3.0
user002,84,2.0
user045,84,3.0
user129,84,1.0
user186,84,3.0
user106,84,3.0
user218,84,3.0
user311,84,2.0
user234,84,2.0
user131,84,2.0
user135,84,3.0
user285,84,1.0
user269,84,2.0
user275,84,1.0
user080,237,2.0
user199,237,1.0
user131,237,3.0
user294,237,1.0
user181,237,3.0
user157,237,3.0
user277,237,3.0
user152,237,3.0
user294,237,2.0
user265,237,2.0
user218,237,2.0
user285,237,1.0
user265,237,3.0
user244,237,1.0
user277,237,3.0
user080,1246,1.0
user266,1246,1.0
user204,1246,1.0
user037,1246,3.0
user218,1246,1.0
user186,1246,1.0
user275,1246,1.0
user180,1246,1.0
user122,1246,1.0
user240,1246,2.0
user106,1246,2.0
user129,1246,3.0
user266,1246,2.0
user251,164,3.0
user094,164,3.0
user021,164,2.0
user251,1072,3.0
user173,1072,2.0
user251,828,3.0
user257,828,2.0
user251,1219,1.0
user086,1219,2.0
user314,1219,2.0
user070,1219,3.0
user251,1038,2.0
user061,1038,3.0
user258,241,3.0
user258,681,2.0
user258,958,3.0
user075,958,2.0
user258,535,2.0
user226,203,1.0
user117,203,3.0
user221,203,2.0
user226,719,3.0
user303,719,2.0
user226,1358,1.0
user049,1358,3.0
user226,490,1.0
user195,490,2.0
user049,490,2.0
user320,216,2.0
user165,216,3.0
user074,216,2.0
user032,216,1.0
user165,216,1.0
user320,1039,2.0
user051,1039,1.0
user015,1039,3.0
user175,1346,1.0
user155,1346,1.0
user055,1346,1.0
user330,1346,2.0
user175,1291,3.0
user179,1291,3.0
user175,770,3.0
user246,770,2.0
user144,671,1.0
user114,671,1.0
user192,671,3.0
user126,671,2.0
user144,403,3.0
user137,403,1.0
user299,403,1.0
user144,403,1.0
user216,403,2.0
user144,1035,2.0
user140,1035,3.0
user232,1035,3.0
user160,1035,3.0
user259,558,3.0
user259,587,2.0
user289,587,3.0
user243,587,3.0
user271,1137,1.0
user155,1137,2.0
user103,1137,1.0
user271,1077,1.0
user069,1077,1.0
user179,1077,2.0
user271,938,3.0
user271,356,3.0
user135,851,3.0
user199,851,3.0
user184,851,3.0
user180,851,3.0
user284,851,3.0
user278,851,3.0
user265,851,3.0
user134,851,1.0
user152,851,3.0
user224,851,2.0
user142,1344,3.0
user082,1344,3.0
user138,1344,3.0
user292,1344,2.0
user277,761,2.0
user285,761,2.0
user186,761,3.0
user278,761,3.0
user311,761,1.0
user242,761,2.0
user284,761,3.0
user037,761,2.0
user277,953,1.0
user157,953,3.0
user273,953,3.0
user294,953,2.0
user045,953,3.0
user286,953,1.0
user277,953,3.0
user298,953,1.0
user277,953,1.0
user181,953,3.0
user218,953,3.0
user122,953,3.0
user119,361,2.0
user142,361,2.0
user119,138,1.0
user073,138,3.0
user119,1293,2.0
user270,1293,1.0
user184,1293,1.0
user113,1293,1.0
user060,1293,2.0
user119,1281,1.0
user073,1281,1.0
user151,1281,2.0
user143,1268,3.0
user322,1268,3.0
user079,1268,2.0
user252,1268,2.0
user143,422,2.0
user329,422,1.0
user322,422,2.0
user326,422,1.0
user120,422,1.0
user143,810,1.0
user116,810,1.0
user143,700,1.0
user062,700,1.0
user071,370,3.0
user158,370,2.0
user010,370,2.0
user071,1236,3.0
user226,1236,2.0
user226,1236,1.0
user091,1236,3.0
user189,1236,2.0
user044,1236,3.0
user326,1236,2.0
user225,1236,1.0
user071,411,1.0
user304,411,2.0
user068,411,2.0
user071,1353,2.0
user117,1353,3.0
user200,1353,1.0
user212,677,1.0
user193,677,3.0
user099,1245,2.0
user276,1245,2.0
user251,1245,3.0
user099,133,3.0
user043,133,3.0
user306,784,3.0
user306,1101,2.0
user306,733,2.0
user167,733,2.0
user205,733,3.0
user306,461,3.0
user159,461,2.0
user159,461,2.0
user235,461,1.0
user233,461,1.0
user306,347,1.0
user076,347,1.0
user249,347,1.0
user242,980,2.0
user146,980,2.0
user180,980,3.0
user180,980,1.0
user285,980,1.0
user325,980,3.0
user207,980,3.0
user134,980,3.0
user286,980,3.0
user284,980,1.0
user277,980,2.0
user012,1017,1.0
user271,1017,1.0
user012,50,2.0
user092,50,2.0
user012,845,1.0
user140,845,3.0
user160,845,2.0
user012,845,1.0
user012,368,2.0
user205,368,1.0
user197,1337,3.0
user174,1337,1.0
user197,1388,2.0
user192,1388,2.0
user197,1364,1.0
user012,1364,3.0
user154,1364,3.0
user034,127,2.0
user073,127,2.0
user034,718,3.0
user181,718,2.0
user078,718,1.0
user034,224,1.0
user072,224,3.0
user034,140,2.0
user134,140,2.0
user316,309,2.0
user175,309,3.0
user283,309,2.0
user222,309,1.0
user246,309,3.0
user238,309,3.0
user316,1154,2.0
user043,1154,3.0
user314,1154,2.0
user316,611,1.0
user099,611,3.0
user217,611,1.0
user316,24,2.0
user015,24,1.0
user316,1199,3.0
user230,1199,3.0
user277,782,3.0
user182,782,3.0
user277,180,2.0
user045,180,2.0
user277,1328,2.0
user146,1328,3.0
user277,731,3.0
user199,612,2.0
user117,612,2.0
user199,448,3.0
user087,448,1.0
user031,448,3.0
user284,448,1.0
user199,1043,3.0
user225,1043,1.0
user136,1043,2.0
user017,1043,3.0
user327,1043,3.0
user199,819,3.0
user054,819,1.0
user046,819,2.0
user208,819,3.0
user241,1387,2.0
user308,1387,1.0
user241,158,2.0
user173,158,2.0
user051,158,2.0
user241,363,2.0
user121,363,3.0
user238,363,3.0
user060,944,2.0
user074,944,3.0
user060,398,2.0
user279,398,3.0
user151,398,1.0
user080,152,1.0
user224,152,1.0
user152,152,3.0
user184,152,3.0
user170,152,3.0
user131,152,3.0
user028,152,1.0
user263,152,2.0
user184,152,2.0
user328,152,2.0
user293,152,2.0
user097,152,3.0
user204,152,2.0
user017,152,1.0
user218,152,3.0
user080,812,3.0
user273,812,2.0
user224,812,3.0
user204,812,3.0
user181,812,3.0
user229,812,2.0
user152,812,1.0
user207,812,1.0
user106,812,1.0
user324,812,2.0
user080,812,3.0
user186,812,2.0
user101,812,2.0
user135,812,2.0
user293,812,1.0
user284,812,2.0
user269,812,2.0
user218,812,3.0
user152,812,2.0
user108,812,2.0
user298,812,2.0
user097,812,3.0
user080,903,3.0
user234,903,3.0
user002,903,1.0
user204,903,1.0
user186,903,2.0
user134,903,1.0
user122,903,2.0
user146,903,3.0
user240,903,2.0
user207,903,3.0
user293,903,1.0
user170,903,3.0
user097,903,2.0
user080,903,3.0
user263,903,3.0
user017,903,2.0
user218,903,2.0
user134,903,1.0
user201,903,2.0
user328,903,1.0
user298,903,3.0
user072,903,2.0
user072,45,3.0
user134,45,1.0
user129,45,3.0
user244,45,1.0
user072,1285,2.0
user034,1285,2.0
user204,1285,3.0
user291,1285,1.0
user072,775,3.0
user034,775,2.0
user266,775,1.0
user072,1373,3.0
user311,1373,3.0
user285,1373,1.0
user157,1373,2.0
user072,453,3.0
user311,453,3.0
user234,453,1.0
user181,453,2.0
user022,474,2.0
user184,474,2.0
user022,421,1.0
user034,421,2.0
user151,421,3.0
user281,421,3.0
user034,421,2.0
user185,421,3.0
user289,421,3.0
user317,421,3.0
user022,40,2.0
user243,40,3.0
user073,40,3.0
user073,40,3.0
user014,40,2.0
user060,40,2.0
user036,327,3.0
user095,327,3.0
user036,837,2.0
user272,837,2.0
user036,346,3.0
user036,547,1.0
user255,547,1.0
user213,547,2.0
user168,547,2.0
user303,547,2.0
user036,297,2.0
user075,297,1.0
user114,27,1.0
user320,27,2.0
user114,959,2.0
user137,959,1.0
user287,959,3.0
user114,161,1.0
user233,161,3.0
user114,918,3.0
user231,918,2.0
user315,918,2.0
user287,918,3.0
user250,918,1.0
user306,918,2.0
user315,918,2.0
user300,918,1.0
user271,918,3.0
user114,874,3.0
user250,874,2.0
user114,874,3.0
user320,874,1.0
user321,367,2.0
user255,367,2.0
user049,367,3.0
user321,174,3.0
user321,781,2.0
user255,781,1.0
user321,631,2.0
user176,631,1.0
user212,631,1.0
user321,506,2.0
user280,590,2.0
user196,590,2.0
user220,590,1.0
user280,666,1.0
user145,666,1.0
user280,803,3.0
user268,803,1.0
user305,803,3.0
user211,803,1.0
user280,824,3.0
user268,824,3.0
user280,1220,2.0
user287,1220,3.0
user175,1220,2.0
user287,1220,1.0
user179,1220,3.0
user271,84,3.0
user315,84,3.0
user283,84,2.0
user061,84,1.0
user063,84,1.0
user330,84,2.0
user294,739,3.0
user045,739,3.0
user129,739,3.0
user001,739,2.0
user204,739,1.0
user244,739,1.0
user180,739,1.0
user240,739,1.0
user080,739,2.0
user131,739,2.0
user275,739,1.0
user218,739,1.0
user199,739,2.0
user294,767,1.0
user186,767,1.0
user072,767,3.0
user286,767,1.0
user037,767,1.0
user186,767,3.0
user180,767,1.0
user045,767,3.0
user207,767,3.0
user265,767,2.0
user284,767,3.0
user199,767,3.0
user201,767,1.0
user294,609,1.0
user109,609,2.0
user131,609,1.0
user037,609,3.0
user034,609,1.0
user181,609,3.0
user266,609,3.0
user266,609,2.0
user240,609,3.0
user201,609,3.0
user266,609,3.0
user263,609,1.0
user294,943,2.0
user277,943,3.0
user266,943,2.0
user286,943,1.0
user294,943,1.0
user317,943,3.0
user234,943,2.0
user244,943,1.0
user097,943,3.0
user045,943,1.0
user101,943,3.0
user294,943,1.0
user129,943,1.0
user152,943,1.0
user286,943,1.0
user034,943,3.0
user180,943,2.0
user180,943,1.0
user180,906,2.0
