detail_view_id,user_id,wine_id,detail_view_time
1,user220,468,2023-06-30 16:49:08
2,user162,356,2023-06-30 16:49:18
3,user259,104,2023-06-30 16:49:28
4,user116,1023,2023-06-30 16:49:38
5,user314,824,2023-06-30 16:49:48
6,user057,502,2023-06-30 16:49:58
7,user194,74,2023-06-30 16:50:08
8,user147,739,2023-06-30 16:50:18
9,user099,1148,2023-06-30 16:50:28
10,user143,680,2023-06-30 16:50:38
11,user210,386,2023-06-30 16:50:48
12,user113,26,2023-06-30 16:50:58
13,user012,1267,2023-06-30 16:51:08
14,user002,436,2023-06-30 16:51:18
15,user257,1058,2023-06-30 16:51:28
16,user316,1071,2023-06-30 16:51:38
17,user066,911,2023-06-30 16:51:48
18,user107,1205,2023-06-30 16:51:58
19,user056,392,2023-06-30 16:52:08
20,user297,266,2023-06-30 16:52:18
21,user237,754,2023-06-30 16:52:28
22,user028,711,2023-06-30 16:52:38
23,user262,136,2023-06-30 16:52:48
24,user235,1310,2023-06-30 16:52:58
25,user276,174,2023-06-30 16:53:08
26,user115,49,2023-06-30 16:53:18
27,user077,209,2023-06-30 16:53:28
28,user192,692,2023-06-30 16:53:38
29,user082,1062,2023-06-30 16:53:48
30,user045,1010,2023-06-30 16:53:58
31,user227,380,2023-06-30 16:54:08
32,user284,1314,2023-06-30 16:54:18
33,user017,111,2023-06-30 16:54:28
34,user140,948,2023-06-30 16:54:38
35,user073,964,2023-06-30 16:54:48
36,user028,1078,2023-06-30 16:54:58
37,user171,1062,2023-06-30 16:55:08
38,user231,16,2023-06-30 16:55:18
39,user252,1107,2023-06-30 16:55:28
40,user089,221,2023-06-30 16:55:38
41,user148,831,2023-06-30 16:55:48
42,user259,544,2023-06-30 16:55:58
43,user086,531,2023-06-30 16:56:08
44,user045,1141,2023-06-30 16:56:18
45,user290,651,2023-06-30 16:56:28
46,user223,1290,2023-06-30 16:56:38
47,user261,733,2023-06-30 16:56:48
48,user225,989,2023-06-30 16:56:58
49,user226,321,2023-06-30 16:57:08
50,user283,1034,2023-06-30 16:57:18
51,user220,1097,2023-06-30 16:57:28
52,user081,103,2023-06-30 16:57:38
53,user160,567,2023-06-30 16:57:48
54,user266,634,2023-06-30 16:57:58
55,user228,233,2023-06-30 16:58:08
56,user286,772,2023-06-30 16:58:18
57,user121,1093,2023-06-30 16:58:28
58,user298,644,2023-06-30 16:58:38
59,user081,689,2023-06-30 16:58:48
60,user143,1321,2023-06-30 16:58:58
61,user186,176,2023-06-30 16:59:08
62,user234,495,2023-06-30 16:59:18
63,user256,1135,2023-06-30 16:59:28
64,user079,1317,2023-06-30 16:59:38
65,user188,1248,2023-06-30 16:59:48
66,user083,458,2023-06-30 16:59:58
67,user217,826,2023-06-30 17:00:08
68,user255,628,2023-06-30 17:00:18
69,user258,1088,2023-06-30 17:00:28
70,user244,1324,2023-06-30 17:00:38
71,user287,333,2023-06-30 17:00:48
72,user158,642,2023-06-30 17:00:58
73,user119,120,2023-06-30 17:01:08
74,user046,470,2023-06-30 17:01:18
75,user110,445,2023-06-30 17:01:28
76,user188,261,2023-06-30 17:01:38
77,user215,635,2023-06-30 17:01:48
78,user256,1106,2023-06-30 17:01:58
79,user282,185,2023-06-30 17:02:08
80,user265,1364,2023-06-30 17:02:18
81,user318,1070,2023-06-30 17:02:28
82,user246,76,2023-06-30 17:02:38
83,user057,1275,2023-06-30 17:02:48
84,user160,56,2023-06-30 17:02:58
85,user287,2,2023-06-30 17:03:08
86,user303,816,2023-06-30 17:03:18
87,user286,108,2023-06-30 17:03:28
88,user081,211,2023-06-30 17:03:38
