wine_id,count
1,9
2,6
3,12
4,11
5,7
6,7
7,8
8,4
9,10
10,3
11,8
12,11
13,7
14,11
15,6
16,6
17,7
18,9
19,9
20,9
21,8
22,5
23,7
24,4
25,6
26,7
27,2
28,4
29,5
30,4
31,7
32,8
33,8
34,11
35,7
36,6
37,4
38,8
39,5
40,10
41,9
42,8
43,11
44,9
45,12
46,5
47,4
48,9
49,8
50,7
51,8
52,3
53,7
54,8
55,9
56,6
57,9
58,6
59,6
60,5
61,6
62,1
63,10
64,8
65,6
66,6
67,2
68,9
69,2
70,9
71,9
72,7
73,8
74,7
75,11
76,8
77,7
78,7
79,6
80,12
81,4
82,5
83,12
84,7
85,13
86,6
87,10
88,13
89,9
90,2
91,10
92,6
93,5
94,6
95,5
96,8
97,9
98,4
99,7
100,8
101,5
102,5
103,10
104,3
105,5
106,6
107,13
108,9
109,2
110,7
111,7
112,13
113,11
114,6
115,4
116,6
117,9
118,6
119,3
120,5
121,10
122,10
123,5
124,10
125,8
126,8
127,6
128,7
129,5
130,3
131,10
132,7
133,8
134,4
135,7
136,4
137,4
138,9
139,6
140,9
141,5
142,6
143,9
144,5
145,9
146,4
147,6
148,8
149,4
150,6
151,10
152,7
153,4
154,5
155,10
156,8
157,5
158,6
159,7
160,8
161,8
162,15
163,10
164,5
165,3
166,4
167,8
168,9
169,5
170,5
171,8
172,8
173,4
174,8
175,7
176,11
177,6
178,4
179,8
180,5
181,10
182,11
183,6
184,6
185,4
186,8
187,11
188,9
189,9
190,10
191,8
192,3
193,2
194,6
195,7
196,6
197,11
198,13
199,6
200,8
201,9
202,9
203,10
204,7
205,9
206,11
207,10
208,10
209,9
210,9
211,11
212,7
213,5
214,8
215,3
216,7
217,5
218,6
219,4
220,13
221,4
222,7
223,6
224,8
225,9
226,2
227,4
228,5
229,8
230,7
231,6
232,8
233,4
234,9
235,6
236,5
237,12
238,8
239,10
240,6
241,6
242,6
243,7
244,5
245,9
246,8
247,6
248,9
249,4
250,5
251,5
252,3
253,4
254,5
255,13
256,8
257,5
258,3
259,8
260,7
261,6
262,8
263,10
264,3
265,6
266,7
267,7
268,7
269,3
270,6
271,6
272,12
273,7
274,8
275,7
276,6
277,7
278,6
279,6
280,11
281,14
282,9
283,11
284,6
285,8
286,8
287,7
288,10
289,6
290,10
291,5
292,8
293,5
294,7
295,6
296,11
297,8
298,6
299,8
300,10
301,10
302,9
303,9
304,1
305,6
306,7
307,6
308,4
309,3
310,14
311,7
312,4
313,7
314,5
315,11
316,5
317,12
318,13
319,9
320,9
321,8
322,11
323,5
324,8
325,6
326,10
327,15
328,8
329,10
330,9
331,4
332,4
333,4
334,7
335,12
336,9
337,12
338,6
339,8
340,7
341,5
342,6
343,7
344,1
345,5
346,9
347,4
348,5
349,7
350,4
351,8
352,10
353,6
354,7
355,10
356,9
357,6
358,5
359,6
360,6
361,8
362,4
363,9
364,6
365,4
366,9
367,9
368,10
369,7
370,6
371,12
372,9
373,6
374,9
375,3
376,8
377,9
378,10
379,9
380,8
381,8
382,4
383,9
384,7
385,7
386,3
