user_id,wine_id,purchase_det_number
user040,448,1.0
user116,448,1.0
user226,448,2.0
user163,448,1.0
user218,448,1.0
user278,448,2.0
user129,448,3.0
user269,448,3.0
user122,448,1.0
user129,448,1.0
user122,448,3.0
user157,448,1.0
user146,448,2.0
user293,448,2.0
user184,448,1.0
user134,448,1.0
user317,448,3.0
user017,448,1.0
user109,448,3.0
user201,448,3.0
user106,448,1.0
user324,448,2.0
user109,448,2.0
user134,448,3.0
user044,448,1.0
user247,448,1.0
user214,448,2.0
user197,448,3.0
user229,448,1.0
user157,448,3.0
user182,448,1.0
user182,448,2.0
user188,448,1.0
user330,448,3.0
user040,501,1.0
user318,501,1.0
user189,501,1.0
user114,501,3.0
user062,501,3.0
user038,501,3.0
user216,501,1.0
user173,501,2.0
user253,501,3.0
user086,501,2.0
user176,501,3.0
user212,501,2.0
user166,501,1.0
user225,501,2.0
user307,501,3.0
user057,501,1.0
user224,501,3.0
user236,501,3.0
user273,501,1.0
user193,501,2.0
user252,501,1.0
user226,501,2.0
user264,501,2.0
user319,501,2.0
user074,501,3.0
user188,501,3.0
user119,501,3.0
user077,501,1.0
user040,322,1.0
user068,322,3.0
user172,322,2.0
user130,322,3.0
user199,322,2.0
user090,322,2.0
user049,322,3.0
user172,322,2.0
user115,322,1.0
user130,322,3.0
user038,322,2.0
user200,322,2.0
user049,322,3.0
user200,322,3.0
user308,322,3.0
user115,322,1.0
user232,322,2.0
user094,322,2.0
user257,322,1.0
user032,322,1.0
user040,859,2.0
user100,859,2.0
user056,859,3.0
user322,859,1.0
user128,859,3.0
user169,859,1.0
user174,859,2.0
user104,859,2.0
user054,859,3.0
user303,859,2.0
user158,859,2.0
user308,859,3.0
user259,859,1.0
user127,859,3.0
user149,859,1.0
user243,859,1.0
user280,859,1.0
user081,859,3.0
user147,859,3.0
user246,859,3.0
user192,859,1.0
user160,859,2.0
user105,859,1.0
user169,859,3.0
user186,1042,2.0
user242,1042,3.0
user260,1042,2.0
user289,1042,2.0
user260,1042,2.0
user177,1042,3.0
user074,1042,3.0
user074,1042,2.0
user253,1042,2.0
user295,1042,3.0
user010,1042,3.0
user170,1042,3.0
user031,1042,1.0
user031,1042,3.0
user237,1042,3.0
user155,1042,2.0
user149,1042,2.0
user271,1042,3.0
user216,1042,2.0
user038,1042,2.0
user186,275,3.0
user072,275,1.0
user289,275,2.0
user202,275,3.0
user297,275,2.0
user048,275,2.0
user155,275,2.0
user064,275,2.0
user295,275,3.0
user040,275,1.0
user088,275,1.0
user296,275,3.0
user167,275,1.0
user019,275,2.0
user105,275,1.0
user235,275,3.0
user249,275,1.0
user107,275,1.0
user209,275,1.0
user291,275,2.0
user281,275,3.0
user048,275,1.0
user121,275,2.0
user142,275,2.0
user307,275,1.0
user208,275,1.0
user234,275,3.0
user114,275,1.0
user291,275,2.0
user209,275,2.0
user290,275,3.0
user186,275,1.0
user292,275,2.0
user286,275,2.0
user186,275,3.0
user186,522,1.0
user250,522,3.0
user064,522,2.0
user021,522,2.0
user173,522,1.0
user220,522,2.0
user196,522,2.0
user160,522,3.0
user251,522,1.0
user212,522,1.0
user044,522,2.0
user139,522,3.0
user179,522,3.0
user314,522,2.0
user161,522,3.0
user077,522,2.0
user217,522,2.0
user145,522,1.0
user090,522,2.0
user274,522,1.0
user210,522,3.0
user172,522,1.0
user111,522,3.0
user267,522,2.0
user283,522,1.0
user186,1052,1.0
user109,1052,2.0
user289,1052,3.0
user212,1052,1.0
user166,1052,2.0
user155,1052,2.0
user196,1052,2.0
user268,1052,2.0
user294,1052,2.0
user184,1052,1.0
user324,1052,2.0
user229,1052,2.0
user157,1052,1.0
user245,1052,1.0
user110,1052,3.0
user302,1052,1.0
user148,1052,3.0
user206,1052,2.0
user036,1052,2.0
user164,1052,2.0
user206,1052,3.0
user195,1052,3.0
user186,1176,3.0
user258,1176,1.0
user263,1176,1.0
user191,1176,1.0
user180,1176,2.0
user272,1176,3.0
user247,1176,3.0
user095,1176,2.0
user256,1176,1.0
user199,1176,2.0
user001,1176,1.0
user073,1176,1.0
user113,1176,2.0
user286,1176,1.0
user279,1176,2.0
user082,1176,1.0
user316,1176,1.0
user196,1176,3.0
user094,1176,3.0
user316,1176,2.0
user222,1176,1.0
user043,1176,3.0
user237,1176,2.0
user238,1176,1.0
user281,1176,2.0
user098,1176,1.0
user022,1176,3.0
user175,1176,1.0
user222,1176,3.0
user034,1176,2.0
user001,1176,1.0
user036,142,3.0
user221,142,2.0
user046,142,3.0
user199,142,1.0
user013,142,3.0
user060,142,3.0
user073,142,2.0
user142,142,1.0
user245,142,3.0
user074,142,2.0
user163,142,1.0
user255,142,1.0
user044,142,2.0
user089,142,1.0
user178,142,3.0
user149,142,2.0
user279,142,2.0
user127,142,1.0
user032,142,2.0
user287,142,3.0
user216,142,2.0
user234,142,2.0
user289,142,1.0
user186,142,3.0
user204,980,1.0
user204,980,2.0
user234,980,1.0
user269,980,1.0
user146,980,1.0
user229,980,2.0
user028,980,3.0
user157,980,1.0
user240,980,1.0
user097,980,3.0
user317,980,2.0
user293,980,2.0
user244,980,1.0
user324,980,3.0
user278,980,2.0
user045,980,2.0
user072,980,1.0
user146,980,3.0
user318,980,3.0
user326,980,3.0
user231,980,2.0
user012,980,2.0
user271,980,2.0
user306,980,3.0
user314,980,1.0
user283,980,2.0
user021,980,1.0
user069,980,1.0
user119,980,3.0
user066,980,1.0
user250,942,2.0
user222,942,3.0
user100,942,1.0
user252,942,2.0
user104,942,2.0
user242,942,2.0
user101,942,3.0
user298,942,3.0
user208,942,2.0
user173,942,2.0
user173,942,1.0
user308,942,3.0
user127,942,2.0
user014,942,3.0
user182,942,1.0
user203,942,1.0
user281,942,1.0
user316,942,1.0
user063,942,2.0
user249,942,1.0
user059,942,2.0
user261,942,3.0
user079,942,1.0
user019,942,3.0
user329,942,2.0
user172,942,1.0
user250,868,1.0
user280,868,3.0
user300,868,2.0
user189,868,3.0
user068,868,2.0
user158,868,3.0
user257,868,2.0
user190,868,3.0
user070,868,2.0
user119,868,3.0
user053,868,3.0
user053,868,3.0
user142,868,3.0
user171,868,3.0
user302,868,2.0
user098,868,1.0
user290,868,3.0
user227,868,3.0
user075,868,2.0
user263,868,3.0
user225,868,2.0
user129,868,3.0
user293,868,3.0
user031,868,2.0
user037,868,1.0
user108,868,1.0
user122,868,3.0
user152,868,2.0
user113,868,3.0
user237,868,3.0
user214,868,1.0
user212,868,2.0
user259,868,2.0
user209,868,3.0
user185,868,3.0
user158,1312,3.0
user159,1312,2.0
user197,1312,3.0
user211,1312,3.0
user081,1312,1.0
user160,1312,3.0
user311,1312,1.0
user097,1312,2.0
user293,1312,1.0
user317,1312,2.0
user276,1312,1.0
user171,1312,3.0
user251,1312,2.0
user300,1312,2.0
user294,1312,1.0
user257,1312,3.0
user094,1312,1.0
user262,1312,2.0
user202,1312,1.0
user061,1312,2.0
user158,348,3.0
user214,348,2.0
user163,348,2.0
user149,348,3.0
user161,348,3.0
user211,348,2.0
user012,348,1.0
user160,348,1.0
user287,348,1.0
user300,348,2.0
user287,348,1.0
user033,348,1.0
user047,348,3.0
user235,348,1.0
user249,348,2.0
user174,348,1.0
user137,348,3.0
user299,348,1.0
user229,348,3.0
user293,348,2.0
user131,348,3.0
user100,348,3.0
user322,348,2.0
user111,348,3.0
user300,348,3.0
user069,348,3.0
user155,348,3.0
user131,348,3.0
user315,348,3.0
user053,348,1.0
user158,166,2.0
user225,166,1.0
user268,166,2.0
user055,166,1.0
user280,166,3.0
user102,166,3.0
user080,166,1.0
user209,166,3.0
user162,166,3.0
user169,166,2.0
user312,166,3.0
user242,166,2.0
user091,166,2.0
user306,166,3.0
user160,166,3.0
user160,166,1.0
user305,166,1.0
user277,166,2.0
user139,23,3.0
user296,23,1.0
user175,23,3.0
user011,23,3.0
user212,23,3.0
user036,23,3.0
user037,23,1.0
user108,23,1.0
user135,23,2.0
user282,23,2.0
user013,23,1.0
user283,23,2.0
user196,23,1.0
user132,23,2.0
user250,23,2.0
user132,23,2.0
user322,23,3.0
user252,23,2.0
user214,23,2.0
user039,23,3.0
user130,23,3.0
user063,23,1.0
user092,23,2.0
user217,23,1.0
user178,23,1.0
user139,769,3.0
user250,769,2.0
user236,769,1.0
user002,769,1.0
user104,769,2.0
user260,769,2.0
user171,769,3.0
user187,769,2.0
user173,769,1.0
user327,769,1.0
user256,769,1.0
user018,769,1.0
user080,769,1.0
user122,769,2.0
user179,769,1.0
user235,769,1.0
user154,769,2.0
user228,769,2.0
user083,769,3.0
user139,1244,3.0
user081,1244,1.0
user192,1244,3.0
user160,1244,2.0
user069,1244,1.0
user167,1244,1.0
user265,1244,2.0
user106,1244,2.0
user182,1244,1.0
user044,1244,3.0
user015,1244,3.0
user251,1244,1.0
user330,1244,3.0
user076,1244,2.0
user015,1244,3.0
user171,1244,3.0
user257,1244,3.0
user300,1244,2.0
user257,1244,1.0
user147,1244,3.0
user319,1244,3.0
user210,1244,1.0
user309,1244,1.0
user025,1244,2.0
