user_id,wine_id,review_score
user040,448,4.0
user040,322,4.0
user186,1042,4.5
user186,275,4.5
user186,522,4.5
user186,1052,3.5
user186,1176,4.5
user036,142,1.0
user204,980,4.0
user250,942,5.0
user250,522,1.0
user158,1312,3.0
user158,348,1.0
user158,166,3.0
user139,769,4.5
user139,1244,0.5
user139,187,5.0
user139,650,4.0
user102,1171,3.5
user102,118,5.0
user246,952,1.0
user246,684,4.5
user243,214,4.0
user243,633,3.0
user243,231,0.0
user156,1062,3.5
user070,512,1.0
user070,45,0.5
user070,909,2.0
user070,33,5.0
user049,715,0.0
user049,523,4.0
user049,208,2.5
user049,118,3.5
user207,494,3.0
user233,841,4.5
user095,1298,2.5
user095,648,2.5
user036,1075,2.5
user158,904,3.5
user158,1325,2.5
user158,450,4.0
user279,737,4.0
user316,1018,5.0
user073,90,4.5
user073,1366,4.0
user072,999,2.5
user327,780,4.5
user327,620,3.5
user327,1383,4.0
user327,1045,4.0
user327,133,2.5
user071,544,4.5
user071,512,1.0
user071,929,2.0
user071,832,5.0
user071,285,4.0
user288,1149,4.0
user288,196,3.0
user288,102,0.0
user288,1336,4.5
user143,1024,5.0
user143,835,5.0
user143,262,3.5
user143,783,5.0
user031,161,3.0
user031,652,4.5
user138,853,1.0
user155,1127,5.0
user155,1112,4.5
user155,636,5.0
user155,1288,2.5
user264,953,3.5
user264,1323,3.0
user264,710,0.5
user264,795,3.0
user215,693,4.5
user215,839,1.0
user215,959,5.0
user215,1330,4.0
user295,391,3.5
user295,798,3.0
user083,1158,3.5
user083,832,3.5
user083,926,5.0
user083,536,4.0
user083,38,2.5
user061,750,4.5
user061,434,2.0
user061,220,4.0
user195,261,3.0
user132,785,4.5
user235,721,3.5
user235,965,4.5
user164,673,0.0
user201,1095,3.5
user201,441,4.0
user201,126,3.0
user201,371,3.5
user201,915,1.0
user059,697,4.5
user059,119,4.0
user028,288,4.0
user028,1018,3.0
user028,400,3.5
user131,650,3.5
user131,1156,3.0
user131,7,3.0
user131,466,3.0
user147,146,3.0
user160,1034,1.0
user160,920,4.5
user160,503,3.5
user160,718,4.0
user327,146,4.0
user327,21,3.5
user216,220,5.0
user216,669,4.0
user216,219,5.0
user216,287,5.0
user314,718,1.0
user314,1269,4.0
user314,75,3.0
user314,1254,4.0
user204,719,5.0
user204,903,4.5
user204,422,4.5
user204,1298,0.0
user086,353,5.0
user107,1163,0.0
user107,979,2.0
user189,925,4.0
user189,652,3.0
user189,868,3.5
user189,1066,3.0
user246,390,5.0
user246,187,0.5
user246,1185,4.5
user246,1229,2.0
user246,450,0.5
user203,737,4.0
user203,372,3.0
user073,1297,4.0
user113,1342,3.5
user113,1217,4.0
user113,710,4.0
user113,909,5.0
user194,1285,3.0
user194,1145,5.0
user267,783,4.5
user267,1155,4.0
user267,1269,3.0
user267,773,4.0
user265,533,3.0
user265,383,4.5
user265,1244,5.0
user265,830,4.0
user319,346,4.5
user319,1092,3.5
user319,577,4.0
user319,190,4.0
user211,300,5.0
user292,147,3.0
user292,310,5.0
user292,1053,1.0
user264,998,5.0
user064,1297,3.0
user064,78,3.0
user064,522,3.5
user232,297,3.5
user232,40,3.5
user232,215,3.5
user232,59,4.5
user291,77,3.5
user013,1070,3.5
user013,67,1.5
user317,1119,4.0
user170,1025,4.5
user170,1101,1.5
user170,196,4.5
user147,905,2.5
user147,7,4.0
user147,40,4.5
user220,1182,3.5
user220,1384,3.0
user220,276,5.0
user264,1313,2.0
user113,424,3.0
user113,881,3.0
user113,117,3.0
user011,608,1.5
user011,821,5.0
user011,64,1.5
user011,110,3.0
