cart_id,user_id,cart_time,cart_state
1,user289,2023-06-30 16:37:48,1
2,user214,2023-06-30 16:37:58,1
3,user077,2023-06-30 16:38:08,1
4,user219,2023-06-30 16:38:18,1
5,user243,2023-06-30 16:38:28,1
6,user161,2023-06-30 16:38:38,1
7,user010,2023-06-30 16:38:48,1
8,user148,2023-06-30 16:38:58,1
9,user185,2023-06-30 16:39:08,1
10,user295,2023-06-30 16:39:18,1
11,user150,2023-06-30 16:39:28,1
12,user187,2023-06-30 16:39:38,1
13,user220,2023-06-30 16:39:48,1
14,user076,2023-06-30 16:39:58,1
15,user243,2023-06-30 16:40:08,1
16,user229,2023-06-30 16:40:18,1
17,user190,2023-06-30 16:40:28,1
18,user199,2023-06-30 16:40:38,1
19,user319,2023-06-30 16:40:48,1
20,user308,2023-06-30 16:40:58,1
21,user261,2023-06-30 16:41:08,1
22,user179,2023-06-30 16:41:18,1
23,user100,2023-06-30 16:41:28,1
24,user301,2023-06-30 16:41:38,1
25,user302,2023-06-30 16:41:48,1
26,user220,2023-06-30 16:41:58,1
27,user012,2023-06-30 16:42:08,1
28,user153,2023-06-30 16:42:18,1
29,user114,2023-06-30 16:42:28,1
30,user021,2023-06-30 16:42:38,1
31,user236,2023-06-30 16:42:48,1
32,user142,2023-06-30 16:42:58,1
33,user257,2023-06-30 16:43:08,1
34,user156,2023-06-30 16:43:18,1
35,user240,2023-06-30 16:43:28,1
36,user280,2023-06-30 16:43:38,1
37,user037,2023-06-30 16:43:48,1
38,user278,2023-06-30 16:43:58,1
39,user015,2023-06-30 16:44:08,1
40,user223,2023-06-30 16:44:18,1
41,user021,2023-06-30 16:44:28,1
42,user217,2023-06-30 16:44:38,1
43,user237,2023-06-30 16:44:48,1
44,user329,2023-06-30 16:44:58,1
45,user183,2023-06-30 16:45:08,1
46,user218,2023-06-30 16:45:18,1
47,user120,2023-06-30 16:45:28,1
48,user182,2023-06-30 16:45:38,1
49,user202,2023-06-30 16:45:48,1
50,user288,2023-06-30 16:45:58,1
51,user171,2023-06-30 16:46:08,1
52,user246,2023-06-30 16:46:18,1
53,user153,2023-06-30 16:46:28,1
54,user108,2023-06-30 16:46:38,1
55,user254,2023-06-30 16:46:48,1
56,user191,2023-06-30 16:46:58,1
57,user051,2023-06-30 16:47:08,1
58,user270,2023-06-30 16:47:18,1
59,user305,2023-06-30 16:47:28,1
60,user201,2023-06-30 16:47:38,1
61,user142,2023-06-30 16:47:48,1
62,user001,2023-06-30 16:47:58,1
63,user081,2023-06-30 16:48:08,1
64,user080,2023-06-30 16:48:18,1
65,user251,2023-06-30 16:48:28,1
66,user258,2023-06-30 16:48:38,1
67,user226,2023-06-30 16:48:48,1
68,user320,2023-06-30 16:48:58,1
69,user175,2023-06-30 16:49:08,1
70,user144,2023-06-30 16:49:18,1
71,user259,2023-06-30 16:49:28,1
72,user271,2023-06-30 16:49:38,1
73,user135,2023-06-30 16:49:48,1
74,user142,2023-06-30 16:49:58,1
75,user277,2023-06-30 16:50:08,1
76,user119,2023-06-30 16:50:18,1
77,user143,2023-06-30 16:50:28,1
78,user071,2023-06-30 16:50:38,1
79,user212,2023-06-30 16:50:48,1
80,user099,2023-06-30 16:50:58,1
81,user306,2023-06-30 16:51:08,1
82,user242,2023-06-30 16:51:18,1
83,user012,2023-06-30 16:51:28,1
84,user197,2023-06-30 16:51:38,1
85,user034,2023-06-30 16:51:48,1
86,user316,2023-06-30 16:51:58,1
87,user277,2023-06-30 16:52:08,1
88,user199,2023-06-30 16:52:18,1
89,user241,2023-06-30 16:52:28,1
90,user060,2023-06-30 16:52:38,1
91,user080,2023-06-30 16:52:48,1
92,user072,2023-06-30 16:52:58,1
93,user022,2023-06-30 16:53:08,1
94,user036,2023-06-30 16:53:18,1
95,user114,2023-06-30 16:53:28,1
96,user321,2023-06-30 16:53:38,1
97,user280,2023-06-30 16:53:48,1
98,user271,2023-06-30 16:53:58,1
99,user294,2023-06-30 16:54:08,1
100,user180,2023-06-30 16:54:18,1
101,user033,2023-06-30 16:54:28,1
102,user291,2023-06-30 16:54:38,1
103,user034,2023-06-30 16:54:48,1
104,user303,2023-06-30 16:54:58,1
105,user044,2023-06-30 16:55:08,1
106,user066,2023-06-30 16:55:18,1
107,user247,2023-06-30 16:55:28,1
108,user220,2023-06-30 16:55:38,1
109,user105,2023-06-30 16:55:48,1
110,user129,2023-06-30 16:55:58,1
111,user105,2023-06-30 16:56:08,1
112,user220,2023-06-30 16:56:18,1
113,user025,2023-06-30 16:56:28,1
114,user153,2023-06-30 16:56:38,1
115,user041,2023-06-30 16:56:48,1
116,user110,2023-06-30 16:56:58,1
117,user233,2023-06-30 16:57:08,1
118,user163,2023-06-30 16:57:18,1
119,user073,2023-06-30 16:57:28,1
120,user176,2023-06-30 16:57:38,1
121,user261,2023-06-30 16:57:48,1
122,user018,2023-06-30 16:57:58,1
123,user175,2023-06-30 16:58:08,1
124,user321,2023-06-30 16:58:18,1
125,user244,2023-06-30 16:58:28,1
126,user247,2023-06-30 16:58:38,1
127,user158,2023-06-30 16:58:48,1
128,user046,2023-06-30 16:58:58,1
129,user028,2023-06-30 16:59:08,1
130,user151,2023-06-30 16:59:18,1
131,user225,2023-06-30 16:59:28,1
132,user330,2023-06-30 16:59:38,1
133,user022,2023-06-30 16:59:48,1
134,user149,2023-06-30 16:59:58,1
135,user277,2023-06-30 17:00:08,1
136,user034,2023-06-30 17:00:18,1
137,user293,2023-06-30 17:00:28,1
138,user152,2023-06-30 17:00:38,1
139,user165,2023-06-30 17:00:48,1
140,user169,2023-06-30 17:00:58,1
141,user103,2023-06-30 17:01:08,1
142,user168,2023-06-30 17:01:18,1
143,user217,2023-06-30 17:01:28,1
144,user174,2023-06-30 17:01:38,1
145,user164,2023-06-30 17:01:48,1
146,user293,2023-06-30 17:01:58,1
147,user242,2023-06-30 17:02:08,1
148,user328,2023-06-30 17:02:18,1
149,user153,2023-06-30 17:02:28,1
150,user304,2023-06-30 17:02:38,1
151,user097,2023-06-30 17:02:48,1
152,user175,2023-06-30 17:02:58,1
153,user225,2023-06-30 17:03:08,1
154,user156,2023-06-30 17:03:18,1
155,user267,2023-06-30 17:03:28,1
156,user149,2023-06-30 17:03:38,1
157,user268,2023-06-30 17:03:48,1
158,user070,2023-06-30 17:03:58,1
159,user205,2023-06-30 17:04:08,1
160,user222,2023-06-30 17:04:18,1
161,user187,2023-06-30 17:04:28,1
162,user160,2023-06-30 17:04:38,1
163,user041,2023-06-30 17:04:48,1
164,user053,2023-06-30 17:04:58,1
165,user073,2023-06-30 17:05:08,1
166,user187,2023-06-30 17:05:18,1
167,user017,2023-06-30 17:05:28,1
168,user279,2023-06-30 17:05:38,1
169,user290,2023-06-30 17:05:48,1
170,user306,2023-06-30 17:05:58,1
171,user151,2023-06-30 17:06:08,1
172,user130,2023-06-30 17:06:18,1
173,user012,2023-06-30 17:06:28,1
174,user066,2023-06-30 17:06:38,1
175,user280,2023-06-30 17:06:48,1
176,user202,2023-06-30 17:06:58,1
177,user083,2023-06-30 17:07:08,1
178,user206,2023-06-30 17:07:18,1
179,user276,2023-06-30 17:07:28,1
180,user063,2023-06-30 17:07:38,1
181,user047,2023-06-30 17:07:48,1
182,user262,2023-06-30 17:07:58,1
183,user319,2023-06-30 17:08:08,1
184,user302,2023-06-30 17:08:18,1
185,user013,2023-06-30 17:08:28,1
186,user285,2023-06-30 17:08:38,1
187,user226,2023-06-30 17:08:48,1
188,user073,2023-06-30 17:08:58,1
189,user256,2023-06-30 17:09:08,1
190,user223,2023-06-30 17:09:18,1
191,user226,2023-06-30 17:09:28,1
192,user305,2023-06-30 17:09:38,1
193,user225,2023-06-30 17:09:48,1
194,user270,2023-06-30 17:09:58,1
195,user300,2023-06-30 17:10:08,1
196,user053,2023-06-30 17:10:18,1
197,user098,2023-06-30 17:10:28,1
198,user086,2023-06-30 17:10:38,1
199,user037,2023-06-30 17:10:48,1
200,user258,2023-06-30 17:10:58,1
201,user146,2023-06-30 17:11:08,1
202,user116,2023-06-30 17:11:18,1
203,user176,2023-06-30 17:11:28,1
204,user214,2023-06-30 17:11:38,1
205,user166,2023-06-30 17:11:48,1
206,user242,2023-06-30 17:11:58,1
207,user097,2023-06-30 17:12:08,1
208,user179,2023-06-30 17:12:18,1
209,user248,2023-06-30 17:12:28,1
210,user088,2023-06-30 17:12:38,1
211,user312,2023-06-30 17:12:48,1
212,user109,2023-06-30 17:12:58,1
213,user160,2023-06-30 17:13:08,1
214,user227,2023-06-30 17:13:18,1
215,user186,2023-06-30 17:13:28,1
216,user278,2023-06-30 17:13:38,1
217,user070,2023-06-30 17:13:48,1
