detail_view_n_id,wine_id,detail_view_n_time
1,908,2023-06-30 16:51:38
2,571,2023-06-30 16:51:48
3,255,2023-06-30 16:51:58
4,1127,2023-06-30 16:52:08
5,551,2023-06-30 16:52:18
6,43,2023-06-30 16:52:28
7,1062,2023-06-30 16:52:38
8,921,2023-06-30 16:52:48
9,796,2023-06-30 16:52:58
10,318,2023-06-30 16:53:08
11,58,2023-06-30 16:53:18
12,1038,2023-06-30 16:53:28
13,253,2023-06-30 16:53:38
14,312,2023-06-30 16:53:48
15,103,2023-06-30 16:53:58
16,272,2023-06-30 16:54:08
17,1039,2023-06-30 16:54:18
18,1177,2023-06-30 16:54:28
19,1165,2023-06-30 16:54:38
20,300,2023-06-30 16:54:48
21,307,2023-06-30 16:54:58
22,413,2023-06-30 16:55:08
23,588,2023-06-30 16:55:18
24,1265,2023-06-30 16:55:28
25,393,2023-06-30 16:55:38
26,1191,2023-06-30 16:55:48
27,686,2023-06-30 16:55:58
28,355,2023-06-30 16:56:08
29,1002,2023-06-30 16:56:18
30,1359,2023-06-30 16:56:28
31,1264,2023-06-30 16:56:38
32,941,2023-06-30 16:56:48
33,731,2023-06-30 16:56:58
34,813,2023-06-30 16:57:08
35,76,2023-06-30 16:57:18
36,823,2023-06-30 16:57:28
37,788,2023-06-30 16:57:38
38,284,2023-06-30 16:57:48
39,125,2023-06-30 16:57:58
40,585,2023-06-30 16:58:08
41,1032,2023-06-30 16:58:18
42,397,2023-06-30 16:58:28
43,691,2023-06-30 16:58:38
44,957,2023-06-30 16:58:48
45,910,2023-06-30 16:58:58
46,239,2023-06-30 16:59:08
47,1036,2023-06-30 16:59:18
48,649,2023-06-30 16:59:28
49,593,2023-06-30 16:59:38
50,798,2023-06-30 16:59:48
51,1105,2023-06-30 16:59:58
52,612,2023-06-30 17:00:08
53,968,2023-06-30 17:00:18
54,1010,2023-06-30 17:00:28
55,1313,2023-06-30 17:00:38
56,842,2023-06-30 17:00:48
57,119,2023-06-30 17:00:58
58,918,2023-06-30 17:01:08
59,939,2023-06-30 17:01:18
60,1029,2023-06-30 17:01:28
61,643,2023-06-30 17:01:38
62,1216,2023-06-30 17:01:48
63,107,2023-06-30 17:01:58
64,771,2023-06-30 17:02:08
65,934,2023-06-30 17:02:18
66,654,2023-06-30 17:02:28
67,892,2023-06-30 17:02:38
68,996,2023-06-30 17:02:48
69,1159,2023-06-30 17:02:58
70,190,2023-06-30 17:03:08
71,1330,2023-06-30 17:03:18
72,670,2023-06-30 17:03:28
73,184,2023-06-30 17:03:38
74,369,2023-06-30 17:03:48
75,1233,2023-06-30 17:03:58
76,786,2023-06-30 17:04:08
77,879,2023-06-30 17:04:18
78,1147,2023-06-30 17:04:28
79,561,2023-06-30 17:04:38
80,541,2023-06-30 17:04:48
81,490,2023-06-30 17:04:58
82,153,2023-06-30 17:05:08
83,383,2023-06-30 17:05:18
84,187,2023-06-30 17:05:28
85,1227,2023-06-30 17:05:38
86,434,2023-06-30 17:05:48
87,775,2023-06-30 17:05:58
88,697,2023-06-30 17:06:08
89,201,2023-06-30 17:06:18
90,1152,2023-06-30 17:06:28
91,315,2023-06-30 17:06:38
92,556,2023-06-30 17:06:48
93,1215,2023-06-30 17:06:58
94,340,2023-06-30 17:07:08
95,1080,2023-06-30 17:07:18
96,161,2023-06-30 17:07:28
97,123,2023-06-30 17:07:38
98,728,2023-06-30 17:07:48
99,256,2023-06-30 17:07:58
100,965,2023-06-30 17:08:08
101,477,2023-06-30 17:08:18
102,1246,2023-06-30 17:08:28
103,373,2023-06-30 17:08:38
104,976,2023-06-30 17:08:48
105,863,2023-06-30 17:08:58
106,423,2023-06-30 17:09:08
107,200,2023-06-30 17:09:18
108,285,2023-06-30 17:09:28
109,474,2023-06-30 17:09:38
110,265,2023-06-30 17:09:48
111,1204,2023-06-30 17:09:58
112,1353,2023-06-30 17:10:08
113,667,2023-06-30 17:10:18
114,191,2023-06-30 17:10:28
115,626,2023-06-30 17:10:38
116,871,2023-06-30 17:10:48
117,837,2023-06-30 17:10:58
118,319,2023-06-30 17:11:08
119,178,2023-06-30 17:11:18
120,877,2023-06-30 17:11:28
121,713,2023-06-30 17:11:38
122,1146,2023-06-30 17:11:48
123,121,2023-06-30 17:11:58
124,1083,2023-06-30 17:12:08
125,396,2023-06-30 17:12:18
126,1304,2023-06-30 17:12:28
127,1196,2023-06-30 17:12:38
128,703,2023-06-30 17:12:48
129,1024,2023-06-30 17:12:58
130,1094,2023-06-30 17:13:08
131,1372,2023-06-30 17:13:18
132,227,2023-06-30 17:13:28
133,1027,2023-06-30 17:13:38
134,11,2023-06-30 17:13:48
135,250,2023-06-30 17:13:58
136,1178,2023-06-30 17:14:08
137,693,2023-06-30 17:14:18
138,582,2023-06-30 17:14:28
139,14,2023-06-30 17:14:38
140,1168,2023-06-30 17:14:48
141,1152,2023-06-30 17:14:58
142,684,2023-06-30 17:15:08
143,1009,2023-06-30 17:15:18
144,157,2023-06-30 17:15:28
145,895,2023-06-30 17:15:38
146,736,2023-06-30 17:15:48
147,727,2023-06-30 17:15:58
148,732,2023-06-30 17:16:08
149,444,2023-06-30 17:16:18
150,589,2023-06-30 17:16:28
151,765,2023-06-30 17:16:38
152,688,2023-06-30 17:16:48
153,471,2023-06-30 17:16:58
154,794,2023-06-30 17:17:08
155,1121,2023-06-30 17:17:18
156,310,2023-06-30 17:17:28
