purchase_id,user_id,purchase_time,purchase_number,purchase_price
1,user040,2023-06-30 16:39:01,5,130000
2,user186,2023-06-30 16:39:11,10,259000
3,user036,2023-06-30 16:39:21,3,54000
4,user204,2023-06-30 16:39:31,1,30000
5,user250,2023-06-30 16:39:41,6,149000
6,user158,2023-06-30 16:39:51,8,160000
7,user139,2023-06-30 16:40:01,12,322000
8,user102,2023-06-30 16:40:11,6,177000
9,user246,2023-06-30 16:40:21,3,77000
10,user243,2023-06-30 16:40:31,6,192000
11,user156,2023-06-30 16:40:41,2,40000
12,user070,2023-06-30 16:40:51,7,161000
13,user049,2023-06-30 16:41:01,11,353000
14,user207,2023-06-30 16:41:11,9,264000
15,user233,2023-06-30 16:41:21,3,111000
16,user095,2023-06-30 16:41:31,5,170000
17,user036,2023-06-30 16:41:41,3,90000
18,user158,2023-06-30 16:41:51,7,200000
19,user279,2023-06-30 16:42:01,5,169000
20,user316,2023-06-30 16:42:11,1,28000
21,user073,2023-06-30 16:42:21,4,110000
22,user072,2023-06-30 16:42:31,2,50000
23,user327,2023-06-30 16:42:41,11,319000
24,user071,2023-06-30 16:42:51,10,324000
25,user288,2023-06-30 16:43:01,9,228000
26,user143,2023-06-30 16:43:11,10,220000
27,user031,2023-06-30 16:43:21,7,180000
28,user138,2023-06-30 16:43:31,2,66000
29,user155,2023-06-30 16:43:41,9,212000
30,user264,2023-06-30 16:43:51,6,187000
31,user215,2023-06-30 16:44:01,10,227000
32,user295,2023-06-30 16:44:11,5,155000
33,user083,2023-06-30 16:44:21,9,240000
34,user061,2023-06-30 16:44:31,7,212000
35,user195,2023-06-30 16:44:41,3,77000
36,user132,2023-06-30 16:44:51,1,37000
37,user235,2023-06-30 16:45:01,9,237000
38,user164,2023-06-30 16:45:11,2,60000
39,user201,2023-06-30 16:45:21,12,319000
40,user059,2023-06-30 16:45:31,5,96000
41,user028,2023-06-30 16:45:41,9,264000
42,user131,2023-06-30 16:45:51,5,124000
43,user147,2023-06-30 16:46:01,4,96000
44,user160,2023-06-30 16:46:11,11,279000
45,user327,2023-06-30 16:46:21,4,119000
46,user216,2023-06-30 16:46:31,7,173000
47,user314,2023-06-30 16:46:41,8,232000
48,user204,2023-06-30 16:46:51,11,294000
49,user086,2023-06-30 16:47:01,1,25000
50,user107,2023-06-30 16:47:11,7,222000
51,user189,2023-06-30 16:47:21,9,221000
52,user246,2023-06-30 16:47:31,15,486000
53,user203,2023-06-30 16:47:41,3,87000
54,user073,2023-06-30 16:47:51,4,118000
55,user113,2023-06-30 16:48:01,8,203000
56,user194,2023-06-30 16:48:11,6,184000
57,user267,2023-06-30 16:48:21,9,265000
58,user265,2023-06-30 16:48:31,9,220000
59,user319,2023-06-30 16:48:41,9,237000
60,user211,2023-06-30 16:48:51,2,40000
61,user292,2023-06-30 16:49:01,7,193000
62,user264,2023-06-30 16:49:11,2,60000
63,user064,2023-06-30 16:49:21,7,206000
64,user232,2023-06-30 16:49:31,9,253000
65,user291,2023-06-30 16:49:41,5,165000
66,user013,2023-06-30 16:49:51,3,95000
67,user317,2023-06-30 16:50:01,3,69000
68,user170,2023-06-30 16:50:11,5,148000
69,user147,2023-06-30 16:50:21,8,197000
70,user225,2023-06-30 16:50:31,6,126000
71,user220,2023-06-30 16:50:41,10,270000
72,user264,2023-06-30 16:50:51,6,151000
73,user113,2023-06-30 16:51:01,8,202000
74,user011,2023-06-30 16:51:11,11,238000
75,user148,2023-06-30 16:51:21,7,190000
76,user175,2023-06-30 16:51:31,6,150000
77,user190,2023-06-30 16:51:41,10,278000
78,user136,2023-06-30 16:51:51,9,271000
79,user215,2023-06-30 16:52:01,2,50000
80,user298,2023-06-30 16:52:11,4,113000
81,user152,2023-06-30 16:52:21,10,263000
82,user273,2023-06-30 16:52:31,7,171000
83,user203,2023-06-30 16:52:41,1,32000
84,user213,2023-06-30 16:52:51,8,183000
85,user199,2023-06-30 16:53:01,4,114000
86,user292,2023-06-30 16:53:11,6,168000
87,user250,2023-06-30 16:53:21,13,256000
88,user145,2023-06-30 16:53:31,3,76000
89,user054,2023-06-30 16:53:41,7,165000
90,user226,2023-06-30 16:53:51,6,177000
91,user144,2023-06-30 16:54:01,10,272000
92,user290,2023-06-30 16:54:11,1,30000
93,user278,2023-06-30 16:54:21,2,40000
94,user178,2023-06-30 16:54:31,3,79000
95,user077,2023-06-30 16:54:41,5,135000
96,user105,2023-06-30 16:54:51,3,84000
97,user208,2023-06-30 16:55:01,9,237000
98,user207,2023-06-30 16:55:11,9,225000
99,user280,2023-06-30 16:55:21,6,165000
100,user066,2023-06-30 16:55:31,9,249000
101,user036,2023-06-30 16:55:41,1,25000
102,user122,2023-06-30 16:55:51,4,101000
103,user100,2023-06-30 16:56:01,11,319000
104,user069,2023-06-30 16:56:11,5,118000
105,user290,2023-06-30 16:56:21,4,114000
106,user140,2023-06-30 16:56:31,8,205000
107,user153,2023-06-30 16:56:41,11,255000
108,user231,2023-06-30 16:56:51,6,197000
109,user036,2023-06-30 16:57:01,1,32000
110,user119,2023-06-30 16:57:11,8,256000
111,user144,2023-06-30 16:57:21,12,337000
112,user262,2023-06-30 16:57:31,6,169000
113,user208,2023-06-30 16:57:41,11,242000
114,user142,2023-06-30 16:57:51,8,223000
115,user121,2023-06-30 16:58:01,9,237000
116,user049,2023-06-30 16:58:11,11,280000
117,user288,2023-06-30 16:58:21,7,210000
118,user048,2023-06-30 16:58:31,8,204000
119,user110,2023-06-30 16:58:41,11,305000
120,user100,2023-06-30 16:58:51,6,142000
121,user330,2023-06-30 16:59:01,2,66000
122,user244,2023-06-30 16:59:11,6,134000
123,user053,2023-06-30 16:59:21,4,103000
124,user063,2023-06-30 16:59:31,12,350000
125,user099,2023-06-30 16:59:41,2,54000
126,user229,2023-06-30 16:59:51,8,196000
127,user303,2023-06-30 17:00:01,8,226000
128,user017,2023-06-30 17:00:11,5,162000
129,user258,2023-06-30 17:00:21,2,50000
130,user236,2023-06-30 17:00:31,3,54000
131,user322,2023-06-30 17:00:41,10,239000
132,user277,2023-06-30 17:00:51,9,244000
133,user015,2023-06-30 17:01:01,6,163000
134,user257,2023-06-30 17:01:11,10,330000
135,user057,2023-06-30 17:01:21,5,152000
136,user254,2023-06-30 17:01:31,8,200000
137,user198,2023-06-30 17:01:41,7,221000
138,user171,2023-06-30 17:01:51,6,126000
139,user257,2023-06-30 17:02:01,8,191000
140,user079,2023-06-30 17:02:11,2,40000
141,user224,2023-06-30 17:02:21,4,125000
142,user019,2023-06-30 17:02:31,13,314000
143,user056,2023-06-30 17:02:41,2,60000
144,user090,2023-06-30 17:02:51,4,134000
145,user063,2023-06-30 17:03:01,8,220000
146,user302,2023-06-30 17:03:11,6,165000
147,user010,2023-06-30 17:03:21,6,195000
148,user055,2023-06-30 17:03:31,6,177000
149,user039,2023-06-30 17:03:41,12,358000
150,user060,2023-06-30 17:03:51,9,258000
151,user268,2023-06-30 17:04:01,2,40000
152,user250,2023-06-30 17:04:11,1,32000
153,user148,2023-06-30 17:04:21,1,35000
154,user070,2023-06-30 17:04:31,7,229000
155,user195,2023-06-30 17:04:41,7,169000
156,user083,2023-06-30 17:04:51,3,96000
157,user325,2023-06-30 17:05:01,3,66000
158,user071,2023-06-30 17:05:11,8,197000
159,user181,2023-06-30 17:05:21,9,274000
160,user308,2023-06-30 17:05:31,8,181000
161,user326,2023-06-30 17:05:41,5,160000
162,user147,2023-06-30 17:05:51,8,224000
163,user142,2023-06-30 17:06:01,7,225000
164,user217,2023-06-30 17:06:11,7,205000
165,user183,2023-06-30 17:06:21,7,191000
166,user044,2023-06-30 17:06:31,8,232000
167,user261,2023-06-30 17:06:41,5,107000
168,user268,2023-06-30 17:06:51,9,259000
169,user028,2023-06-30 17:07:01,7,202000
170,user055,2023-06-30 17:07:11,4,114000
171,user307,2023-06-30 17:07:21,6,188000
172,user165,2023-06-30 17:07:31,3,87000
173,user114,2023-06-30 17:07:41,2,40000
174,user266,2023-06-30 17:07:51,1,33000
175,user230,2023-06-30 17:08:01,8,243000
176,user308,2023-06-30 17:08:11,3,54000
177,user305,2023-06-30 17:08:21,12,302000
178,user080,2023-06-30 17:08:31,8,194000
179,user034,2023-06-30 17:08:41,8,257000
180,user196,2023-06-30 17:08:51,6,171000
181,user216,2023-06-30 17:09:01,4,99000
182,user147,2023-06-30 17:09:11,1,18000
183,user262,2023-06-30 17:09:21,7,177000
184,user028,2023-06-30 17:09:31,1,18000
185,user324,2023-06-30 17:09:41,3,81000
186,user281,2023-06-30 17:09:51,5,114000
187,user122,2023-06-30 17:10:01,9,196000
188,user157,2023-06-30 17:10:11,1,22000
189,user045,2023-06-30 17:10:21,7,188000
190,user278,2023-06-30 17:10:31,4,121000
191,user057,2023-06-30 17:10:41,8,241000
192,user033,2023-06-30 17:10:51,9,250000
193,user063,2023-06-30 17:11:01,9,225000
194,user147,2023-06-30 17:11:11,4,82000
195,user265,2023-06-30 17:11:21,9,261000
196,user314,2023-06-30 17:11:31,9,266000
197,user116,2023-06-30 17:11:41,4,101000
