purchase_detail_id,purchase_id,sell_id,purchase_det_number,purchase_det_price,purchase_det_state
1,1,14689,1,22000,2
2,1,6243,1,30000,1
3,1,6194,1,22000,2
4,1,6333,2,28000,1
5,2,10620,2,32000,2
6,2,10296,3,28000,2
7,2,10398,1,18000,2
8,2,13138,1,27000,2
9,2,14132,3,22000,2
10,3,6890,3,18000,2
11,4,12989,1,30000,2
12,5,3348,2,18000,2
13,5,11903,1,23000,1
14,5,3228,3,30000,2
15,6,14851,3,22000,2
16,6,12643,3,18000,2
17,6,7682,2,20000,2
18,7,3465,3,32000,1
19,7,3586,3,30000,2
20,7,11957,3,25000,2
21,7,3492,2,18000,2
22,7,3565,1,25000,2
23,8,1333,3,27000,2
24,8,878,3,32000,2
25,9,13573,2,22000,2
26,9,11945,1,33000,2
27,10,388,2,37000,1
28,10,260,2,33000,2
29,10,324,1,27000,2
30,10,263,1,25000,2
31,11,5072,2,20000,2
32,12,14439,3,20000,2
33,12,3107,2,22000,2
34,12,3336,1,22000,2
35,12,3103,1,35000,2
36,13,8408,3,25000,2
37,13,8360,3,35000,2
38,13,14855,2,37000,2
39,13,8244,3,33000,2
40,14,10141,3,28000,1
41,14,12999,3,33000,1
42,14,9945,3,27000,2
43,15,3316,3,37000,2
44,16,8965,2,37000,2
45,16,13985,3,32000,2
46,17,8682,2,30000,1
47,17,8779,1,30000,2
48,18,13785,1,32000,2
49,18,6459,2,32000,2
50,18,6420,2,32000,1
51,18,6229,2,20000,2
52,19,125,2,32000,2
53,19,192,3,35000,1
54,20,2186,1,28000,2
55,21,866,3,25000,2
56,21,1417,1,35000,2
57,22,170,2,25000,2
58,23,12675,3,23000,2
59,23,12662,3,33000,2
60,23,8209,1,32000,2
61,23,8061,1,35000,2
62,23,7665,3,28000,2
63,24,14692,2,37000,2
64,24,14690,2,27000,2
65,24,6352,2,32000,2
66,24,14697,1,27000,2
67,24,6187,3,35000,2
68,25,5294,2,28000,1
69,25,5426,2,22000,2
70,25,12223,2,25000,2
71,25,5153,2,30000,2
72,25,13723,1,18000,2
73,26,7051,2,18000,1
74,26,14772,3,20000,2
75,26,7087,2,27000,2
76,26,6922,2,20000,2
77,26,7071,1,30000,2
78,27,8923,3,30000,1
79,27,8847,2,22000,2
80,27,12834,2,23000,2
81,28,1200,2,33000,2
82,29,2969,1,23000,2
83,29,13520,3,23000,2
84,29,11815,2,27000,2
85,29,13528,3,22000,2
86,30,6361,1,27000,2
87,30,6458,1,28000,2
88,30,6291,3,35000,2
89,30,6315,1,27000,2
90,31,7913,3,23000,2
91,31,7971,2,22000,2
92,31,8030,3,18000,2
93,31,8185,2,30000,2
94,32,8877,3,33000,2
95,32,8915,2,28000,2
96,33,6069,2,18000,2
97,33,14672,3,30000,2
98,33,6035,2,37000,2
99,33,13751,1,18000,2
100,33,5885,1,22000,2
101,34,2054,1,32000,1
102,34,2135,2,23000,2
103,34,2093,2,32000,2
104,34,11714,2,35000,2
105,35,8713,1,23000,1
106,35,8645,2,27000,2
107,36,1767,1,37000,2
108,37,4500,3,18000,1
109,37,4593,2,30000,2
110,37,4686,1,27000,1
111,37,4700,3,32000,2
112,38,7903,2,30000,2
113,39,10102,2,23000,2
114,39,9930,1,27000,2
115,39,9837,3,23000,2
116,39,9912,3,32000,2
117,39,10062,3,27000,2
118,40,5013,3,20000,2
119,40,4910,2,18000,2
120,41,14971,3,33000,2
121,41,10085,3,22000,2
122,41,14974,3,33000,2
123,42,8902,1,23000,2
124,42,12843,1,22000,2
125,42,8824,1,25000,2
126,42,8883,1,22000,2
127,42,13978,1,32000,1
128,43,3754,2,30000,2
129,43,4109,2,18000,1
130,44,4130,2,25000,2
131,44,13615,3,27000,2
132,44,3915,2,18000,2
133,44,4002,1,37000,2
134,44,3947,3,25000,1
135,45,8169,2,32000,1
136,45,7674,1,25000,2
137,45,7614,1,30000,2
138,46,12181,3,18000,2
139,46,5004,2,33000,2
140,46,4933,1,33000,2
141,46,4943,1,20000,2
142,47,2794,3,23000,2
143,47,3036,1,28000,2
144,47,2525,3,35000,2
145,47,3030,1,30000,2
146,48,9764,3,18000,2
147,48,9772,3,28000,2
148,48,9752,3,30000,2
149,48,9798,2,33000,2
150,49,2321,1,25000,2
151,50,193,3,37000,2
152,50,158,3,28000,1
153,50,166,1,27000,2
154,51,6719,1,37000,2
155,51,12466,3,27000,2
156,51,6678,1,20000,1
157,51,12477,3,20000,2
158,51,6760,1,23000,2
159,52,2329,3,35000,2
160,52,2282,3,37000,2
161,52,2449,3,23000,2
162,52,2458,3,32000,2
163,52,2336,3,35000,2
164,53,344,2,32000,2
165,53,11421,1,23000,2
166,54,15074,3,27000,1
167,54,11329,1,37000,2
168,55,11347,2,32000,2
169,55,11292,1,25000,2
170,55,11066,3,20000,2
171,55,11155,2,27000,2
172,56,1987,2,37000,2
173,56,1924,2,35000,2
174,56,14310,2,20000,1
175,57,11100,3,23000,2
176,57,11261,2,37000,2
177,57,11319,1,32000,2
178,57,11094,3,30000,2
179,58,11322,3,22000,1
180,58,10997,1,32000,2
181,58,10931,2,27000,2
182,58,13248,2,25000,2
183,58,11120,1,18000,2
184,59,6949,3,25000,2
185,59,12547,1,22000,2
186,59,7010,2,25000,2
187,59,6901,3,30000,2
188,60,11935,2,20000,2
189,61,10832,3,20000,2
190,61,10904,1,30000,2
191,61,11002,1,37000,1
192,61,11215,2,33000,2
193,62,6050,2,30000,2
194,63,2468,3,30000,2
195,63,2271,2,25000,2
196,63,2347,2,33000,2
197,64,4948,1,37000,2
198,64,13677,3,23000,2
199,64,4931,1,18000,2
200,64,5006,3,33000,1
201,64,4898,1,30000,2
202,65,10918,3,33000,1
203,65,10801,2,33000,2
204,66,8072,1,35000,2
205,66,7637,2,30000,2
