sell_id,store_id,wine_id,sell_reg_time,sell_price,sell_promot,sell_state
1,1,2,2023-07-20 13:20:35,37000,wine number 1,1
2,1,5,2023-07-20 13:20:35,35000,wine number 2,1
3,1,11,2023-07-20 13:20:35,30000,wine number 3,1
4,1,26,2023-07-20 13:20:35,23000,wine number 4,1
5,1,31,2023-07-20 13:20:35,22000,wine number 5,1
6,1,43,2023-07-20 13:20:35,20000,wine number 6,1
7,1,51,2023-07-20 13:20:35,28000,wine number 7,1
8,1,55,2023-07-20 13:20:35,23000,wine number 8,1
9,1,62,2023-07-20 13:20:35,27000,wine number 9,1
10,1,63,2023-07-20 13:20:35,33000,wine number 10,1
11,1,65,2023-07-20 13:20:35,25000,wine number 11,1
12,1,70,2023-07-20 13:20:35,20000,wine number 12,1
13,1,73,2023-07-20 13:20:35,33000,wine number 13,1
14,1,86,2023-07-20 13:20:35,25000,wine number 14,1
15,1,87,2023-07-20 13:20:35,32000,wine number 15,1
16,1,91,2023-07-20 13:20:35,33000,wine number 16,1
17,1,99,2023-07-20 13:20:35,33000,wine number 17,1
18,1,121,2023-07-20 13:20:35,37000,wine number 18,1
19,1,125,2023-07-20 13:20:35,33000,wine number 19,1
20,1,133,2023-07-20 13:20:35,33000,wine number 20,1
21,1,138,2023-07-20 13:20:35,30000,wine number 21,1
22,1,150,2023-07-20 13:20:35,37000,wine number 22,1
23,1,153,2023-07-20 13:20:35,27000,wine number 23,1
24,1,161,2023-07-20 13:20:35,28000,wine number 24,1
25,1,162,2023-07-20 13:20:35,33000,wine number 25,1
26,1,167,2023-07-20 13:20:35,30000,wine number 26,1
27,1,169,2023-07-20 13:20:35,30000,wine number 27,1
28,1,170,2023-07-20 13:20:35,27000,wine number 28,1
29,1,173,2023-07-20 13:20:35,23000,wine number 29,1
30,1,174,2023-07-20 13:20:35,33000,wine number 30,1
31,1,186,2023-07-20 13:20:35,33000,wine number 31,1
32,1,195,2023-07-20 13:20:35,23000,wine number 32,1
33,1,198,2023-07-20 13:20:35,28000,wine number 33,1
34,1,207,2023-07-20 13:20:35,35000,wine number 34,1
35,1,217,2023-07-20 13:20:35,32000,wine number 35,1
36,1,225,2023-07-20 13:20:35,37000,wine number 36,1
37,1,241,2023-07-20 13:20:35,25000,wine number 37,1
38,1,246,2023-07-20 13:20:35,28000,wine number 38,1
39,1,247,2023-07-20 13:20:35,23000,wine number 39,1
40,1,250,2023-07-20 13:20:35,20000,wine number 40,1
41,1,255,2023-07-20 13:20:35,33000,wine number 41,1
42,1,257,2023-07-20 13:20:35,35000,wine number 42,1
43,1,259,2023-07-20 13:20:35,35000,wine number 43,1
44,1,274,2023-07-20 13:20:35,33000,wine number 44,1
45,1,275,2023-07-20 13:20:35,35000,wine number 45,1
46,1,278,2023-07-20 13:20:35,28000,wine number 46,1
47,1,286,2023-07-20 13:20:35,20000,wine number 47,1
48,1,287,2023-07-20 13:20:35,37000,wine number 48,1
49,1,298,2023-07-20 13:20:35,35000,wine number 49,1
50,1,313,2023-07-20 13:20:35,30000,wine number 50,1
51,1,325,2023-07-20 13:20:35,33000,wine number 51,1
52,1,326,2023-07-20 13:20:35,18000,wine number 52,1
53,1,334,2023-07-20 13:20:35,22000,wine number 53,1
54,1,347,2023-07-20 13:20:35,35000,wine number 54,1
55,1,355,2023-07-20 13:20:35,20000,wine number 55,1
56,1,357,2023-07-20 13:20:35,33000,wine number 56,1
57,1,361,2023-07-20 13:20:35,27000,wine number 57,1
58,1,363,2023-07-20 13:20:35,18000,wine number 58,1
59,1,366,2023-07-20 13:20:35,32000,wine number 59,1
60,1,370,2023-07-20 13:20:35,30000,wine number 60,1
61,1,379,2023-07-20 13:20:35,23000,wine number 61,1
62,1,383,2023-07-20 13:20:35,22000,wine number 62,1
63,1,399,2023-07-20 13:20:35,33000,wine number 63,1
64,1,403,2023-07-20 13:20:35,37000,wine number 64,1
65,1,410,2023-07-20 13:20:35,25000,wine number 65,1
66,1,413,2023-07-20 13:20:35,18000,wine number 66,1
67,1,415,2023-07-20 13:20:35,30000,wine number 67,1
68,1,421,2023-07-20 13:20:35,27000,wine number 68,1
69,1,426,2023-07-20 13:20:35,30000,wine number 69,1
70,1,431,2023-07-20 13:20:35,37000,wine number 70,1
71,1,442,2023-07-20 13:20:35,33000,wine number 71,1
72,1,445,2023-07-20 13:20:35,27000,wine number 72,1
73,1,454,2023-07-20 13:20:35,30000,wine number 73,1
74,1,459,2023-07-20 13:20:35,27000,wine number 74,1
75,1,462,2023-07-20 13:20:35,20000,wine number 75,1
76,1,465,2023-07-20 13:20:35,20000,wine number 76,1
77,1,466,2023-07-20 13:20:35,35000,wine number 77,1
78,1,471,2023-07-20 13:20:35,18000,wine number 78,1
79,1,473,2023-07-20 13:20:35,20000,wine number 79,1
80,1,474,2023-07-20 13:20:35,37000,wine number 80,1
81,1,478,2023-07-20 13:20:35,35000,wine number 81,1
