fav_user_id,user_id,fav_wine_color,fav_alc,fav_numbwith,fav_sweet,fav_bitter,fav_sour,fav_season,fav_food,fav_first_priority,fav_second_priority,fav_third_priority
1,user001,3,3,1,3,2,3,2,4,5,4,3
2,user002,4,4,3,1,1,1,4,4,5,2,4
3,user010,3,1,1,5,1,1,1,5,5,1,4
4,user011,3,1,5,5,5,1,5,3,3,3,4
5,user012,1,5,4,3,4,5,4,5,1,5,2
6,user013,2,5,2,5,5,5,4,4,5,1,2
7,user014,5,3,4,4,4,4,4,2,2,3,2
8,user015,3,4,1,5,5,3,2,5,4,2,2
9,user017,5,5,3,4,2,3,1,1,3,2,6
10,user018,1,1,2,3,2,1,4,5,2,3,6
11,user019,2,5,4,3,1,5,3,1,1,1,1
12,user021,3,2,1,3,2,3,2,1,5,4,3
13,user022,2,5,4,5,1,2,4,5,3,4,2
14,user025,2,3,4,4,4,4,5,5,3,3,5
15,user028,4,3,5,1,3,4,4,2,2,5,4
16,user031,1,3,4,5,1,5,5,2,6,6,4
17,user032,2,5,1,4,4,4,4,3,3,2,5
18,user033,5,2,2,1,5,5,3,1,1,4,4
19,user034,5,5,1,1,1,5,5,2,1,5,6
20,user036,5,2,1,2,2,3,3,4,3,6,6
21,user037,3,3,2,5,3,5,2,5,2,4,2
22,user038,5,4,4,1,3,2,2,2,6,6,3
23,user039,2,5,2,1,4,5,4,5,5,6,3
24,user040,4,5,1,4,4,5,4,3,3,3,1
25,user041,4,3,2,4,2,2,2,4,2,5,5
26,user043,4,2,3,4,2,2,1,1,5,4,4
27,user044,3,1,2,3,1,4,5,1,4,4,6
28,user045,5,2,1,2,5,3,4,4,1,1,5
29,user046,1,1,2,5,5,5,4,1,1,4,1
30,user047,5,3,3,2,3,5,5,3,2,1,2
31,user048,5,4,2,3,2,3,1,5,6,4,4
32,user049,1,4,5,4,3,3,4,1,6,4,1
33,user051,1,3,2,3,5,5,5,1,1,5,1
34,user053,4,2,5,3,2,4,1,5,5,2,1
35,user054,4,5,1,4,2,1,1,4,2,1,6
36,user055,5,3,3,2,3,2,4,1,6,2,2
37,user056,5,3,1,2,5,5,3,3,4,6,2
38,user057,3,5,1,2,2,4,4,1,5,5,5
39,user059,2,5,1,2,3,4,3,5,1,2,4
40,user060,5,2,4,5,2,1,3,5,4,5,3
41,user061,3,5,4,3,3,1,1,2,3,2,2
42,user062,3,1,5,5,1,2,1,3,6,5,5
43,user063,5,5,5,2,4,3,3,2,2,6,1
44,user064,5,1,5,1,5,2,4,4,6,5,1
45,user066,3,5,1,4,3,1,5,1,2,3,2
46,user068,2,5,2,2,1,1,2,1,4,6,6
47,user069,5,3,2,2,2,2,2,4,3,4,4
48,user070,3,1,4,1,5,3,2,2,6,5,2
49,user071,4,3,5,5,2,2,2,3,5,5,3
50,user072,2,5,2,1,4,2,2,4,6,1,4
51,user073,5,5,4,4,1,4,2,1,4,5,3
52,user074,4,2,2,4,3,4,2,4,4,2,6
53,user075,2,2,1,1,1,1,3,4,3,4,6
54,user076,4,3,5,4,4,1,4,1,3,2,5
55,user077,4,2,2,5,1,1,2,1,5,4,5
56,user078,4,3,1,3,2,1,4,1,1,4,5
57,user079,3,2,5,2,2,4,4,3,2,5,3
58,user080,4,3,3,3,3,3,4,4,5,2,4
59,user081,1,2,3,4,4,3,4,5,6,6,1
60,user082,1,4,1,2,2,5,4,2,6,4,6
61,user083,1,2,4,1,1,2,3,4,3,3,6
62,user086,4,4,5,5,1,1,4,3,4,4,3
