wine_id,wine_name,wine_name_eng,wine_sort,wine_capacity,wine_alc,wine_dangdo,wine_sando,wine_tannin,wine_food,wine_image,wine_region_id
1,"칸티나 사바, 리포타 피노 그리지오","Cantina Sava, Riporta Pinot Grigio",2,750,13.0,1,3,1,4,../../media/images/wine/01001.png,2
2,"칸티나 사바, 리포타 네로 다볼라","Cantina Sava, Riporta Nero d'Avola",1,750,14.0,1,3,3,1,../../media/images/wine/01002.png,2
3,"비니 토논, 스푸만테 로쏘 돌체 마지아 피오레","Vini Tonon, Spumante Rosso Dolce Magia Fiore",4,750,10.0,2,3,2,2,../../media/images/wine/01003.png,2
4,"비니 토논, 스푸만테 비앙코 세쿠 엑스트라 드라이 마지아 피오레","Vini Tonon, Spumante Bianco Secco Extra-dry Magia Fiore",4,750,12.0,1,4,1,2,../../media/images/wine/01004.png,2
5,"비니 토논, 스푸만테 비앙코 돌체 마지아 피오레","Vini Tonon, Spumante Bianco Dolce Magia Fiore",4,750,10.0,2,4,1,2,../../media/images/wine/01005.png,2
6,"에노이탈리아, 소피오 오로 3 밀레지마토 스푸만테","Enoitalia, Soffio ORO Rose Millesimato Spumante",4,750,12.0,2,3,1,3,../../media/images/wine/01006.png,2
7,"노떼 로사, 프리미티보 로사토","Notte Rossa, Primitivo Rosato",3,750,13.0,1,3,2,2,../../media/images/wine/01007.png,2
8,"노떼 로사, 프리미티보 살렌토","Notte Rossa, Primitivo Salento",1,750,15.0,2,2,2,1,../../media/images/wine/01008.png,2
9,"노떼 로사, 바시아 로쏘 살렌토","Notte Rossa, Bascia Rosso Salento",1,750,15.0,1,3,3,1,../../media/images/wine/01009.png,2
10,"에노이탈리아, 소피오 오로 블랑 드 블랑","Enoitalia, Soffio Oro Blanc de Blancs",4,750,12.0,2,3,1,2,../../media/images/wine/01010.png,2
11,"47AD, 프로세코 엑스트라 드라이 블랙","47AD, Prosecco extra-dry Black",4,750,12.0,2,4,1,4,../../media/images/wine/01011.png,2
12,"칸티, 핑크 블라썸 스위트 1","Canti, Pink Blossom Sweet Red",1,750,5.5,1,3,2,1,../../media/images/wine/01012.jpg,2
13,"미라벤토, 모스카토 리치","Miravento, Moscato Lychee",4,750,6.0,3,3,1,2,../../media/images/wine/01013.png,2
14,"미라벤토, 모스카토 피치","Miravento, Mocato Peach",4,750,6.0,3,3,1,5,../../media/images/wine/01014.png,2
15,"미라벤토, 모스카토 스트로베리","Miravento, Moscato Strawberry",4,750,6.0,3,3,1,4,../../media/images/wine/01015.png,2
16,"미라벤토, 모스카토 핑크","Miravento, Moscato Pink",4,750,7.0,3,3,1,1,../../media/images/wine/01016.png,2
17,"체비코, 르미유 비노 로쏘 미디엄 스윗","Cevico, Lemieux Vino Rosso Medium Sweet",1,750,10.5,1,3,2,1,../../media/images/wine/01017.png,2
18,"체비코, 스위트 키스","Cevico, Sweet Kiss Rosso",1,750,9.0,1,3,3,1,../../media/images/wine/01018.png,2
19,"체비코, 드라이 키스","Cevico, Dry Kiss Rosso",1,750,11.5,1,2,3,1,../../media/images/wine/01019.png,2
20,"발레벨보, 피에몬테 모스까또 D.O.C","Vallebelbo, Piemonte Moscato D.O.C",2,750,5.0,2,3,1,4,../../media/images/wine/01020.png,2
21,쉬즈 올웨이즈 3,She's Always Rose Sparkling,4,750,12.0,1,3,2,2,../../media/images/wine/01021.png,2
22,"스가르지 루이지, 레티자 2","Sgarzi Luigi, Letizia White",2,750,10.0,1,3,1,3,../../media/images/wine/01022.png,2
23,"스가르지 루이지, 레티자 1","Sgarzi Luigi, Letizia Red",1,750,18.0,2,3,4,4,../../media/images/wine/01023.png,2
24,"뜨레 세콜리, 모스카토 다스티","Tre Secoli, Moscato d'Asti",2,750,6.0,4,1,1,2,../../media/images/wine/01024.png,2
25,"뜨레 세콜리, 브라케토 다퀴","Tre Secoli, Brachetto d'Acqui",4,750,6.0,3,1,1,4,../../media/images/wine/01025.png,2
26,"까비로, 아프리몬도 아파시멘토 산지오베제","Caviro, Aprimondo Appassimento Sangiovese",1,750,15.0,2,3,3,1,../../media/images/wine/01026.png,2
27,"몬테 델 프라, 까델마그로 쿠스토자 수페리오레","Monte del Fra, Ca del Magro Custoza Superiore",2,750,14.0,1,3,1,3,../../media/images/wine/01027.png,2
28,"피치니, 피노키오","Piccini, Pinocchio",1,750,14.0,1,3,3,1,../../media/images/wine/01028.jpg,2
29,"카시나 치쿠, 랑게 네비올로","Cascina Chicco, Langhe Nebbiolo",1,750,15.0,1,3,3,1,../../media/images/wine/01029.png,2
30,"카시나 치쿠, 로에로 아르네이스","Cascina Chicco, Roero Arneis Anterisio",2,750,15.0,1,4,1,4,../../media/images/wine/01030.jpg,2
31,"47AD, 그랑 뀌베 스푸만떼 골드","47AD, Grand Cuvee Spumante Gold",4,750,12.0,2,3,1,1,../../media/images/wine/01031.png,2
32,"47AD, 프로세코 3","47AD, Prosecco Rose",4,750,12.0,2,3,2,2,../../media/images/wine/01032.png,2
33,"47AD, 프로세코 엑스트라 브룻 민트","47AD, Prosecco extra-brut",4,750,12.0,2,3,1,2,../../media/images/wine/01033.png,2
34,"47AD, 프로세코 엑스트라 드라이 블랙","47AD, Prosecco extra-dry Black",4,750,12.0,2,4,1,2,../../media/images/wine/01034.png,2
35,"발레벨보, 르필레르 모스까또 다스띠 D.O.C.G","Vallebelbo, Le Pilere Moscato D'Asti D.O.C.G",2,750,5.5,1,4,1,1,../../media/images/wine/01035.png,2
36,"우마니 론끼, 비고르 2","Umani Ronchi, Vigor White",2,750,12.0,1,3,1,2,../../media/images/wine/01036.png,2
37,"또스띠, 모스까또 블랙에디션","Tosti, Moscato Black Edition",4,750,6.5,2,3,1,1,../../media/images/wine/01037.png,2
38,"또스띠, 버터플라이 4","Tosti, Butterfly Sparkling",4,750,9.5,1,4,1,2,../../media/images/wine/01038.png,2
39,"일 팔라지오, 뉴 데이 로사토","Il Palagio, New Day Rosato",3,750,12.5,1,3,2,4,../../media/images/wine/01039.png,2
40,"일 팔라지오, 웬 위 댄스","Il Palagio, When We Dance",1,750,13.0,1,3,3,4,../../media/images/wine/01040.png,2
41,스트레브 모스카토 다스티 DOCG,Strev Moscato d'Asti DOCG,2,750,6.0,3,3,1,5,../../media/images/wine/01041.png,2
42,"칸티, 프리미엄 브라케토","Canti, Premium Brachetto",1,750,7.0,4,3,3,2,../../media/images/wine/01042.png,2
43,"와인컵, 샤도네이","Wine Cup, Chardonnay",2,187,13.0,1,3,1,1,../../media/images/wine/01043.png,2
44,"와인컵, 메를로","Wine Cup, Merlot",1,187,13.0,1,3,4,4,../../media/images/wine/01044.png,2
45,"마세리아 트라조네, 네로 다볼라","Masseria Trajone, Nero d'Avola",1,750,13.0,1,3,4,2,../../media/images/wine/01045.png,2
46,"마세리아 트라조네, 피노 그리지오","Masseria Trajone, Pinot Grigio",2,750,13.0,1,3,1,2,../../media/images/wine/01046.png,2
47,알루메아 로쏘 테레 디 키에티 오가닉,Allumea Rosso,1,750,14.0,1,3,3,4,../../media/images/wine/01047.png,2
48,알루메아 네로 다볼라 시칠리아 오가닉,Allumea Nero d'Avola,1,750,14.0,1,3,3,1,../../media/images/wine/01048.png,2
49,알루메아 네로 다볼라 메를로 시칠리아 오가닉,Allumea Nero d'Avola Merlot,1,750,14.0,1,3,3,2,../../media/images/wine/01049.png,2
50,알루메아 그릴로 샤도네이 시칠리아 오가닉,Allumea Grillo Chardonnay,2,750,13.0,1,3,1,1,../../media/images/wine/01050.png,2
51,"토소, 브뤼 밀레시마토","Toso, Brut Millesimato",4,750,13.0,1,4,1,1,../../media/images/wine/01051.png,2
52,알루메아 샤도네이 테레 시칠리아네 오가닉,Allumea Chardonnay Terre Siciliane Organic,2,750,13.0,1,3,1,2,../../media/images/wine/01052.png,2
53,알레니코 프리미티보 디 만두리아,Allenico Primitivo di Manduria,1,750,15.0,1,4,5,1,../../media/images/wine/01053.png,2
54,파소 세그레토 아파시멘토 산지오베제,Passo Segreto Appasimento Sangiovese,1,750,15.0,1,3,3,4,../../media/images/wine/01054.png,2
55,파소 세그레토 아파시멘토 로쏘,Passo Segreto Appasimento Rosso,1,750,16.0,1,4,3,1,../../media/images/wine/01055.png,2
56,파모소 루비코네,Famoso Rubicone,2,750,13.0,1,3,1,2,../../media/images/wine/01056.png,2
57,노비볼레 로마냐 스푸만테 비앙코,Novebolle Romagna Spumante Bianco,4,750,12.0,2,4,1,1,../../media/images/wine/01057.png,2
58,로마냐 트레비아노,Romagna Trebbiano,2,750,13.0,1,3,1,3,../../media/images/wine/01058.png,2
59,"오로펠라, 3 엑스트라 드라이 스푸만테 밀레지마토","Oroperla, Rose Extra Dry Spumante Millesimato",4,750,13.0,1,4,2,5,../../media/images/wine/01059.png,2
60,"리파 디 소토, 진판델","Ripa di Sotto, Zinfandel",1,750,16.0,1,3,5,1,../../media/images/wine/01060.png,2
61,노비볼레 로마냐 스푸만테 로사토,"Caviro, Novebolle Romagna Spumante Rosato",4,750,12.0,1,3,2,2,../../media/images/wine/01061.png,2
62,"콜레프리지오, 비그나쿼드라 페코리노","Collefrisio, Vignaqudra Pecorino",2,750,14.0,1,3,1,4,../../media/images/wine/01062.png,2
63,"콜레프리지오, 테누타 줄리아노","Collefrisio, Tenuta Giuliano",1,750,15.0,1,3,3,5,../../media/images/wine/01063.png,2
64,로마냐 산지오베제 수페리오레 리제르바,Romagna Sangiovese Superiore Riserva,1,750,15.0,1,3,3,1,../../media/images/wine/01064.png,2
65,"칸티네 산 마르코, 프로그 비노 비안코","Cantine San Marco, Frog Vino Bianco",2,750,13.0,1,3,1,1,../../media/images/wine/01065.png,2
66,"칸티네 산 마르코, 프로그 비노 로쏘","Cantine San Marco, Frog Vino Rosso",1,750,13.0,1,3,3,2,../../media/images/wine/01066.png,2
67,"칸티나 꼴리 에오가네이, 피노 그리지오 델레 베네치에","Cantina Colli Euganei, Pinot Grigio delle Venezie",2,750,13.0,1,3,1,1,../../media/images/wine/01067.png,2
68,"카사 세코, 모스카토 다스티","Casa Secco, Moscato d'Asti",2,750,6.0,3,3,1,1,../../media/images/wine/01068.png,2
69,"깔린 드 파올로, 바르베라 다스티 '에드 리비텀'","Carlin de Paolo, Barbera d'Asti 'Ad Libitvm'",1,750,14.0,1,3,3,2,../../media/images/wine/01069.png,2
